f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
58,North,D,Agra,86FFSOH21A,32'',100'',ESML,,1,22.11111111,,1,Frontlit,Pillar,Mens Formal,Mens,
59,North,D,Agra,86FFSOH21B,,,Actual,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
60,North,D,Agra,86FFSOH24C,,,Actual,,,,,1,Frontlit,Pillar,Kids,kids,
61,North,D,Agra,86FFSOH26A,,,Actual,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
62,North,D,Agra,86FFSOH26B,,,Actual,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
63,North,D,Agra,86FFSOH30,,,Need Recce,,,,,1,Frontlit,Façade,Mens,Mens,
64,North,D,Agra,86FFSOH31,,,Need Recce,,,,,1,Frontlit,Façade,Mens,Mens,
65,North,D,Agra,86FFSOH32,,,Need Recce,,,,,1,Frontlit,Façade,Mens,Mens,
66,North,D,Agra,86FFSOH33,,,Need Recce,,,,,1,Frontlit,Façade,Generic,Generic,
67,North,D,Agra,86FFSOH34,,,Need Recce,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
68,North,D,Agra,86FFSOH35,40'',102'',ESML,,1,28.33333333,,1,Frontlit,Pillar,Mens Denim,Mens,
,,,,,,,,,,,,,,,,,
1,North,D,Dwarka,230FFCC1,121'',69'',Backlit fabric with silicon stirp,,1,57.97916667,,1,Backlit ,Cash Counter,Mens ,Mens ,
2,North,D,Dwarka,230FFV3,35'',102'',Backlit fabric with silicon stirp,,1,24.79166667,,1,Backlit ,Pillar,Mens Denim,Mens ,
3,North,D,Dwarka,230FFV4,71'',91'',Backlit fabric with silicon stirp,,1,44.99131944,,1,Backlit ,Façade,Mens,Mens,
4,North,D,Dwarka,230FFW1,20'',124'',Digital print on 5mm sunboard,,1,17.22222222,,-1,Frontlit,Window,Generic,Generic,
