f,Zone,Grade,Store Name,Space code,W,H,Material,D,Qty,Sq.ft.,Cost,,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
10,North,C,Gaur Noida,259FFSOH8,53'',115'',Backlit Fabric with Silion Strips,,1,42.41515625,,1,backlit,Pillar,Mens Formal,Mens,
11,North,C,Gaur Noida,259FFSOH9,39'',106'',Backlit Fabric with Silion Strips,,1,28.72068056,,1,backlit,Pillar,Mens Denim,Mens,
12,North,C,Gaur Noida,259FFSOH10,53'',115'',Backlit Fabric with Silion Strips,,1,42.19820833,,1,backlit,Pillar,Mens Formal,Mens,
13,North,C,Gaur Noida,259FFSOH11,39'',106'',Backlit Fabric with Silion Strips,,1,28.77481944,,1,backlit,Pillar,Mens Formal,Mens,
14,North,C,Gaur Noida,259FFSOH13,39'',106'',Backlit Fabric with Silion Strips,,1,28.77481944,,1,backlit,Pillar,Mens Denim,Mens,
15,North,C,Gaur Noida,259FFSV1,,,Need Recce,,,,,1,Frontlit,Sensomatic,Mens,Mens,
17,North,C,Gaur Noida,259GFCC1,19’10.5”,70.5,Backlit Fabric with Silion Strips,,1,,,0,backlit,Cash Counter,Non-apps,Non-apps,
18,North,C,Gaur Noida,259GFSOH1,73'',116'',Backlit Fabric with Silion Strips,,1,58.76198958,,0,backlit,Pillar,Fragrance,Beauty,
19,North,C,Gaur Noida,259GFSOH2,51'',115'',Backlit Fabric with Silion Strips,,1,40.7200875,,0,backlit,Pillar,Sunglass,Non-apps,
20,North,C,Gaur Noida,259GFSOH3,51'',115'',Backlit Fabric with Silion Strips,,1,40.69903333,,0,backlit,Pillar,Watches,Non-apps,
21,North,C,Gaur Noida,259GFSOH4,50'',118'',Backlit Fabric with Silion Strips,,1,40.48727222,,0,backlit,Pillar,Handbags,Leather,
22,North,C,Gaur Noida,259GFSOH5,50'',117'',Backlit Fabric with Silion Strips,,1,40.98736597,,0,backlit,Pillar,Ladies Footwear,Leather,
23,North,C,Gaur Noida,259GFSOH6A,36'',63'',Backlit Fabric with Silion Strips,,1,15.77266458,,0,backlit,Escalator,Non-apps,Non-apps,
24,North,C,Gaur Noida,259GFSOH6B,36'',63'',Backlit Fabric with Silion Strips,,1,15.77266458,,0,backlit,Escalator,Non-apps,Non-apps,
25,North,C,Gaur Noida,259GFSOH7A,36'',63'',Backlit Fabric with Silion Strips,,1,15.77266458,,0,backlit,Escalator,Non-apps,Non-apps,
26,North,C,Gaur Noida,259GFSOH7B,36'',63'',Backlit Fabric with Silion Strips,,1,15.77266458,,0,backlit,Escalator,Non-apps,Non-apps,
27,North,C,Gaur Noida,259GFSOH8,36'',63'',Backlit Fabric with Silion Strips,,1,15.77266458,,0,backlit,Escalator,Non-apps,Non-apps,
28,North,C,Gaur Noida,259GFSOH9,51'',90'',Backlit Fabric with Silion Strips,,1,31.77753333,,0,backlit,Pillar,Beauty,Beauty,
29,North,C,Gaur Noida,259GFSOH10,64'',115'',Backlit Fabric with Silion Strips,,1,51.05525625,,0,backlit,Pillar,Fragrance,Beauty,
30,North,C,Gaur Noida,8520GFSV1,31'',106'',Backlit Fabric with Silion Strips,,1,23.02071528,,0,backlit,Pillar,Watches,Non-apps,
31,North,C,Gaur Noida,259GFSOH12,31'',106'',Backlit Fabric with Silion Strips,,1,23.02071528,,0,backlit,Pillar,Watches,Non-apps,
32,North,C,Gaur Noida,259GFSOH13,31'',106'',Backlit Fabric with Silion Strips,,1,23.02071528,,0,backlit,Pillar,Watches,Non-apps,
33,North,C,Gaur Noida,259GFSOH14,31'',106'',Backlit Fabric with Silion Strips,,1,23.02071528,,0,backlit,Pillar,Watches,Non-apps,
35,North,C,Gaur Noida,259GFSV1,20'',65'',VOSB,"6""",12,9.027777778,,0,Frontlit,Sensomatic,Fragrance,Beauty,
36,North,C,Gaur Noida,259GFSV2,16'',55'',Translit Film,,26,6.111111111,,0,Frontlit,Sensomatic,Beauty,Beauty,
37,North,C,Gaur Noida,259GFSV3,16'',55'',Translit Film,,,6.111111111,,0,Frontlit,Sensomatic,Beauty,Beauty,
38,North,C,Gaur Noida,259SFCC1,212'',71'',Backlit Fabric with Silion Strips,,1,104.1400972,,2,backlit,Cash Counter,Ladies,Ladies,
39,North,C,Gaur Noida,259SFSOH1A,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
40,North,C,Gaur Noida,259SFSOH1B,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
41,North,C,Gaur Noida,259SFSOH2A,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
42,North,C,Gaur Noida,259SFSOH2B,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
43,North,C,Gaur Noida,259SFSOH3A,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
44,North,C,Gaur Noida,259SFSOH3B,36'',63'',Backlit Fabric with Silion Strips,,1,15.95315,,2,backlit,Escalator,Ladies,Ladies,
45,North,C,Gaur Noida,259SFSOH4,47'',118'',Backlit Fabric with Silion Strips,,1,38.86935903,,2,backlit,Pillar,Indian Wear,Ladies,
46,North,C,Gaur Noida,259SFSOH5,55'',118'',Backlit Fabric with Silion Strips,,1,44.50253889,,2,backlit,Pillar,Kids,kids,
47,North,C,Gaur Noida,259SFSOH6,31'',106'',Backlit Fabric with Silion Strips,,1,22.95784722,,2,backlit,Pillar,Kids,kids,
48,North,C,Gaur Noida,259SFSO7,53'',118'',Backlit Fabric with Silion Strips,,1,43.21308333,,2,backlit,Pillar,Kids,kids,
49,North,C,Gaur Noida,259SFSOH8,53'',116'',Backlit Fabric with Silion Strips,,1,42.3181,,2,backlit,Pillar,Ladies Western,Ladies,
50,North,C,Gaur Noida,259SFSOH9,53'',116'',Backlit Fabric with Silion Strips,,1,42.70564583,,2,backlit,Pillar,Indian Wear,Ladies,
51,North,C,Gaur Noida,259GFSOH15,51'',116'',Backlit Fabric with Silion Strips,,1,41.08333333,,0,backlit,Pillar,Beauty,Beauty,
52,North,C,Gaur Noida,259GFBL1,163'',95'',Backlit Fabric with Silion Strips,,1,106.96875,,0,backlit,Façade,Fragrance,Beauty,
53,North,C,Gaur Noida,259GFBL2,,,Actual,,,,,0,backlit,Window,Generic,Generic,
54,North,C,Gaur Noida,259FFSOH1,,,Actual,,,,,1,backlit,Pillar,Mens Denim,Mens ,
55,North,C,Gaur Noida,259SFSV1,15'',55'',ESML,,14,5.677083333,,2,Frontlit,Sensomatic,Ladies,Ladies,
,,,,,,,,,,,,,,,,,
1,North,C,Ghazibad,255GFNS1,,,Need Recce,,,,,,,,,,
2,North,C,Ghazibad,255FFSOH1,32'',97'',ESMl,,1,21.55555556,,1,Frontlit,Pillar,Mens Denim,Mens ,
3,North,C,Ghazibad,255FFSOH4,32'',97'',ESMl,,1,21.55555556,,1,Frontlit,Pillar,Kids,kids,
4,North,C,Ghazibad,255FFSOH5,32'',97'',ESMl,,1,21.55555556,,1,Frontlit,Pillar,Ladies Western,Ladies,
5,North,C,Ghazibad,255FFSOH17,256'',125'',ESMl,,1,222.2222222,,1,Frontlit,Window,Ladies,Ladies,
6,North,C,Ghazibad,255FFSOH18,352'',124'',ESMl,,1,301.8888889,,1,Frontlit,Window,Ladies,Ladies,
7,North,C,Ghazibad,255FFSV1,,,Need Recce,,,,,1,Frontlit,Sensomatic,Ladies,Ladies,
8,North,C,Ghazibad,255FFSW1,190'',99'',ESMl,,1,130.625,,1,Frontlit,Stairway,Ladies,Ladies,
9,North,C,Ghazibad,255FFSW2,190'',99'',ESMl,,1,130.625,,1,Frontlit,Stairway,Ladies,Ladies,
10,North,C,Ghazibad,255FFSW3,190'',99'',ESMl,,1,130.625,,1,Frontlit,Stairway,Ladies,Ladies,
11,North,C,Ghazibad,255FFSW4,190'',99'',ESMl,,1,130.625,,1,Frontlit,Stairway,Ladies,Ladies,
12,North,C,Ghazibad,255FFVM1,178'',124'',ESMl,,1,153.2777778,,1,Frontlit,Window,Ladies,Ladies,
13,North,C,Ghazibad,255GFCC1,186'',72'',Backlit Fabric with silicon strip,,1,92.35416667,,C,backlit,Cash Counter,Generic,Generic,
14,North,C,Ghazibad,255GFSOH1,48'',101'',ESMl,,1,33.66666667,,0,Frontlit,Pillar,Watches,Non-apps,
15,North,C,Ghazibad,255GFSOH5,,,Need Recce,,,,,0,Frontlit,Pillar,Handbags,Leather,
16,North,C,Ghazibad,255GFSOH6,36'',89'',ESMl,,1,22.25,,0,Frontlit,Pillar,Indian Wear,Ladies,
17,North,C,Ghazibad,255GFSOH8,36'',89'',ESMl,,1,22.25,,0,Frontlit,Pillar,Indian Wear,Ladies,
18,North,C,Ghazibad,255GFSOH15,"48""",106'',ESMl,,1,#VALUE!,,0,1,Pillar,Fragrance,Beauty,
19,North,C,Ghazibad,255GFSOH21,"100""","109""",ESMl,,1,#VALUE!,,0,Frontlit,Window,Fragrance,Beauty,
20,North,C,Ghazibad,255GFSV1,24'',60'',Digital print on 5mm sunboard,"8""",3,10,,0,Frontlit,Sensomatic,Fragrance,Beauty,
21,North,C,Ghazibad,255SFCC1,72'',41'',Backlit Fabric with silicon strip,,1,20.42881944,,2,backlit,Cash Counter,Mens,Mens,
22,North,C,Ghazibad,255SFCC2,72'',05'',Backlit Fabric with silicon strip,,1,2.2421875,,2,backlit,Cash Counter,Mens,Mens,
23,North,C,Ghazibad,255SFSOH4,32'',101'',ESMl,,1,22.44444444,,2,Frontlit,Pillar,Mens Formal,Mens ,
24,North,C,Ghazibad,255SFSOH12,380'',117'',ESMl,,1,308.75,,2,Frontlit,Window,Mens,Mens,
25,North,C,Ghazibad,255SFSOH13,385'',117'',ESMl,,1,312.8125,,2,Frontlit,Window,Mens,Mens,
26,North,C,Ghazibad,255SFSW1,127'',99'',ESMl,,1,87.3125,,2,Frontlit,Stairway,Mens,Mens,
27,North,C,Ghazibad,255SFSW2,127'',99'',ESMl,,1,87.3125,,2,Frontlit,Stairway,Mens,Mens,
28,North,C,Ghazibad,255SFSW3,181'',99'',ESML,,1,124.4375,,2,Frontlit,Stairway,Mens,Mens,
29,North,C,Ghazibad,255SFSW4,127'',99'',ESML,,1,87.3125,,2,Frontlit,Stairway,Mens,Mens,
30,North,C,Ghazibad,255SFSW5,127'',99'',ESML,,1,87.3125,,2,Frontlit,Stairway,Mens,Mens,
31,North,C,Ghazibad,255SFVM1,178'',124'',ESML,,1,153.2777778,,,,,,,
32,North,C,Ghazibad,255GFSOH18A,,,Need Recce,,,,,0,Frontlit,Façade,Generic,Generic,
33,North,C,Ghazibad,255GFSOH18B,,,Need Recce,,,,,0,Frontlit,Window,Fragrance,Beauty,
34,North,C,Ghazibad,255FB1,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
35,North,C,Ghazibad,255FB2,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
36,North,C,Ghazibad,255FB3,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
37,North,C,Ghazibad,255FB4,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
38,North,C,Ghazibad,255FB5,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
39,North,C,Ghazibad,255FB6,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
40,North,C,Ghazibad,255FB7,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
41,North,C,Ghazibad,255FB8,,,Actual,,,,,0,Frontlit,Façade,Generic,Generic,
42,North,C,Ghazibad,255SFSOH1,,,Need Recce,,,,,2,Frontlit,Pillar,Mens Formal,Mens ,
43,North,C,Ghazibad,255SFSOH5,,,Actual,,,,,2,Frontlit,Pillar,Mens Formal,Mens ,
44,North,C,Ghazibad,255SFSV1,24'',60'',Digital print on 5mm sunboard,"8""",3,9.791666667,,2,Frontlit,Sensomatic,Mens,Mens,
,,,,,,,,,,,,,,,,,
1,North,B,Gurgaon,10FFFB1,119'',101'',Backlit Fabric with Silion Strips,,1,83.05208333,,1,Backlit ,Façade,Generic,Generic,
2,North,B,Gurgaon,10FFSV1,,,Need Recce,,,,,1,Frontlit,Sensomatic,Ladies,Ladies,
3,North,B,Gurgaon,10FFSV2,,,Need Recce,,,,,1,Frontlit,Sensomatic,Mens,Mens,
4,North,B,Gurgaon,10GFSOH1,"25""","94.5""",Backlit Fabric with Silion Strips,,1,#VALUE!,,0,Backlit ,Pillar,Beauty,Beauty,
6,North,B,Gurgaon,10GFSOH3,47'',"102""",Backlit Fabric with Silion Strips,,1,#VALUE!,,0,Backlit ,Pillar,Watches,Non-apps,
7,North,B,Gurgaon,10GFSOH4,27'',96'',Backlit Fabric with Silion Strips,,1,17.57465278,,0,Backlit ,Pillar,Watches,Non-apps,
8,North,B,Gurgaon,10GFSOH5,26'',61'',ESML,,1,11.01388889,,0,Frontlit,Pillar,Cash Counter,Non-apps,
9,North,B,Gurgaon,10L2AV3,27'',103'',ESML,,1,18.95486111,,1,Frontlit,Pillar,Lingerie,Ladies,
10,North,B,Gurgaon,10L2AV5,30'',77'',ESML,,1,15.77430556,,1,Frontlit,Pillar,Indian Wear,Ladies,
11,North,B,Gurgaon,10l2av12,,,Need Recce,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
12,North,B,Gurgaon,10L2AV22,218'',60'',Backlit Fabric with Silion Strips,,1,90.34888889,,1,Backlit ,Cash Counter,Ladies,Ladies,
13,North,B,Gurgaon,10l2av30,26'',99'',ESML,,1,17.44270833,,1,Frontlit,Pillar,Indian Wear,Ladies,
14,North,B,Gurgaon,10l2av31,26'',99'',ESML,,1,17.44270833,,1,Frontlit,Pillar,Indian Wear,Ladies,
15,North,B,Gurgaon,10L2BV4A,26'',"96""",ESML,,1,#VALUE!,,,,,,,
16,North,B,Gurgaon,10L2BV4B,26'',95'',ESML,,1,16.82291667,,,,,,,
17,North,B,Gurgaon,10L2BV11,26'',95'',ESML,,1,16.82291667,,1,Frontlit,Pillar,Mens Denim,Mens,
18,North,B,Gurgaon,10L2BV14,25'',95'',ESML,,1,16.49305556,,1,Frontlit,Pillar,Mens Denim,Mens,
19,North,B,Gurgaon,10L2BV115,25'',95'',ESML,,1,16.49305556,,,,,,,
20,North,B,Gurgaon,10L2BV15,25'',95'',ESML,,1,16.49305556,,1,Frontlit,Pillar,Mens Denim,Mens,
21,North,B,Gurgaon,10L2BV16,25'',95'',ESML,,1,16.49305556,,1,Frontlit,Pillar,Mens Denim,Mens,
22,North,B,Gurgaon,10L2BV27,37'',90'',ESML,,1,23.125,,1,Frontlit,Pillar,Mens Formal,Mens,
23,North,B,Gurgaon,10L2BV35,215'',60'',Backlit Fabric with Silion Strips,,1,88.89833333,,1,Backlit ,Cash Counter,Mens,Mens,
24,North,B,Gurgaon,10OAFL3,266'',103'',Flex,,1,189.90625,,1,Frontlit,Atrium,Generic,Generic,
25,North,B,Gurgaon,10OAFL4,261'',103'',Flex,,1,186.6875,,1,Frontlit,Atrium,Generic,Generic,
26,North,B,Gurgaon,10OAFL5,137'',132'',ESML,,1,125.125,,1,Frontlit,Atrium,Generic,Generic,
27,North,B,Gurgaon,10OBFL2,36',11',ESML,,1,2.588541667,,1,Frontlit,Atrium,Generic,Generic,
28,North,B,Gurgaon,10OBFL3,,,Same location,,,,,1,Frontlit,Atrium,Generic,Generic,
29,North,B,Gurgaon,10OBFL5,"130""","132.5""",ESML,,,,,1,Frontlit,Atrium,Generic,Generic,
30,North,B,Gurgaon,10SWBL1,"124""","100""",Backlit Fabric with Silion Strips,,1,#VALUE!,,1,Backlit ,Façade,Generic,Generic,
31,North,B,Gurgaon,10L2AV28,,,Actual,,,,,1,Frontlit,Pillar,Indian Wear,Ladies,
32,North,B,Gurgaon,10L2BV4,26'',96'',ESML,,1,17.24305556,,1,Frontlit,Pillar,Mens Denim,Mens,
33,North,B,Gurgaon,10L2BV22,,,Need Recce,,,,,1,Frontlit,Pillar,Ugs,Mens,
34,North,B,Gurgaon,10L2BV23,,,Need Recce,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
35,North,B,Gurgaon,10GFFB1,99'',107'',ESML,,1,73.5625,,0,Backlit ,Façade,Generic,Generic,
36,North,B,Gurgaon,10GFSV1,18'',66'',Digital print on 5mm sunboard,"6""",6,8.25,,0,Frontlit,Sensomatic,Beauty,Beauty,
37,North,B,Gurgaon,10GFSOH2,26”,96'',Backlit Fabric with Silion Strips,,1,#VALUE!,,0,Backlit ,Pillar,Beauty,Beauty,
38,North,B,Gurgaon,10OAFL1,,,Need Recce,,,,,1,Frontlit,Atrium,Generic,Generic,
39,North,B,Gurgaon,10OAFL2,,,Need Recce,,,,,1,Frontlit,Atrium,Generic,Generic,
40,North,B,Gurgaon,10OBFL1,,,Need Recce,,,,,1,Frontlit,Atrium,Generic,Generic,
41,North,B,Gurgaon,10OBFL4,,,Same location,,,,,1,Frontlit,Atrium,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,North,A,Jaipur WTP,82FFV9,143'',54'',Backlit fabric with silicon strip,,1,53.625,,1,backlit,Cash Counter,Ladies Western,Ladies,
2,North,A,Jaipur WTP,82FFV10,199'',96'',ESML,,1,132.6666667,,1,Frontlit,Pillar,Ladies Western,Ladies,
3,North,A,Jaipur WTP,82FFV11,82'',96'',ESML,,1,54.66666667,,1,Frontlit,Pillar,Ladies Western,Ladies,
4,North,A,Jaipur WTP,82FFV16a,20'',95'',ESML,,1,12.86458333,,,,,,,
5,North,A,Jaipur WTP,82FFV16c,18'',95'',ESML,,1,11.875,,,,,,,
6,North,A,Jaipur WTP,82FFV19,43'',95'',ESML,,1,28.36805556,,1,Frontlit,Pillar,Kids,kids,
7,North,A,Jaipur WTP,82FFV24,43'',95'',ESML,,1,28.36805556,,1,Frontlit,Pillar,Kids,kids,
8,North,A,Jaipur WTP,82FFV27,24'',95'',ESML,,1,15.83333333,,1,Frontlit,Pillar,Kids,kids,
9,North,A,Jaipur WTP,82FFV28,24'',95'',ESML,,1,15.83333333,,1,Frontlit,Pillar,Kids,kids,
10,North,A,Jaipur WTP,82FFV30,43'',95'',ESML,,1,28.36805556,,1,Frontlit,Pillar,Kids,kids,
11,North,A,Jaipur WTP,82GFCC1,234'',63'',Backlit fabric with silicon strip,,1,102.375,,0,backlit,Cash Counter,Non-apps,Non-apps,
12,North,A,Jaipur WTP,82GFV7,42'',96'',ESML,,1,28,,0,Frontlit,Pillar,Beauty,Beauty,
13,North,A,Jaipur WTP,82GFV23,43'',95'',ESML,,1,28.36805556,,2,Frontlit,Pillar,Mens Denim,Mens,
14,North,A,Jaipur WTP,82SFV2,43'',95'',ESML,,1,28.36805556,,,,,,,
15,North,A,Jaipur WTP,82SFV1,24'',95'',ESML,,1,15.83333333,,2,Frontlit,,,,
16,North,A,Jaipur WTP,82SFV4,24'',95'',ESML,,1,15.83333333,,2,Frontlit,Pillar,Mens Denim,Mens,
17,North,A,Jaipur WTP,82SFV6,43'',95'',ESML,,1,28.36805556,,2,Frontlit,Pillar,Mens Denim,Mens,
18,North,A,Jaipur WTP,82SFV5,24'',95'',ESML,,1,15.83333333,,2,Frontlit,Pillar,Mens Denim,Mens,
19,North,A,Jaipur WTP,82SFV7,24'',95'',ESML,,1,15.83333333,,2,Frontlit,Pillar,Mens Denim,Mens,
20,North,A,Jaipur WTP,82SFV18,205'',96'',ESML,,1,136.6666667,,2,Frontlit,Pillar,Mens,Mens,
21,North,A,Jaipur WTP,82SFV22,161'',55'',Backlit fabric with silicon strip,,1,61.49305556,,2,backlit,Cash Counter,Mens,Mens,
22,North,A,Jaipur WTP,82SFV27,22'',76'',ESML,,1,11.34722222,,2,Frontlit,Pillar,Mens Denim,Mens,
23,North,A,Jaipur WTP,82SFW1,138'',96'',ESML,,1,92,,2,Frontlit,Window,Mens Denim,Mens,
24,North,A,Jaipur WTP,82GFV5,30'',112'',ESML,,1,23.33333333,,0,Frontlit,Pillar,Fragrance,Beauty,
25,North,A,Jaipur WTP,82GFSV1,23'',65'',Digital print on 5mm sunboard,"7""",3,10.15625,,0,Frontlit,Sensomatic,Fragrance,Beauty,
26,North,A,Jaipur WTP,82DS01,,,Actual,,,,,0,Digital,Store Entrance,Non-apps,Non-apps,
27,North,A,Jaipur WTP,82DS01,,,Actual,,,,,0,Digital,Store Entrance,Non-apps,Non-apps,
28,North,A,Jaipur WTP,82GFV25,,,Actual,,,,,0,Frontlit,Pillar,Beauty,Beauty,
29,North,A,Jaipur WTP,82GFV1,,,Actual,,,,,0,Frontlit,Pillar,Watches,Non-apps,
30,North,A,Jaipur WTP,82GFV18A,43'',95'',ESML,,1,28.36805556,,0,Frontlit,Pillar,Indian Wear,Ladies,
31,North,A,Jaipur WTP,82GFV18B,24'',95'',ESML,,1,15.83333333,,0,Frontlit,Pillar,Indian Wear,Ladies,
32,North,A,Jaipur WTP,82GFV23A,,,Actual,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
33,North,A,Jaipur WTP,82GFV23B,,,Actual,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
34,North,A,Jaipur WTP,82FFV16,,,Same location,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
35,North,A,Jaipur WTP,82FFNS1,,,Actual,,,,,1,Frontlit,Pillar,Ladies Western,Ladies,
36,North,A,Jaipur WTP,82FFNS2,18'',95'',ESML,,1,11.875,,1,Frontlit,Pillar,Ladies Western,Ladies,
37,North,A,Jaipur WTP,82FFW1,,,Need Recce,,,,,1,Frontlit,Window,Ladies,Ladies,
38,North,A,Jaipur WTP,82SFV14,20'',95'',ESML,,1,13.19444444,,2,Frontlit,Pillar,Mens,Mens,
39,North,A,Jaipur WTP,82FFSV1,,,Need Recce,,,,,1,Frontlit,Sensomatic,Ladies,Ladies,
40,North,A,Jaipur WTP,82SFSV1,,,Need Recce,,,,,2,Frontlit,Sensomatic,Mens,Mens,
,,,,,,,,,,,,,,,,,
1,North,C,Jalandhar,71FFSOH2A,44'',97'',ESML,,1,29.63888889,,,,,,,
2,North,C,Jalandhar,71FFSOH4,36'',97'',ESML,,1,24.25,,1,Frontlit,Pillar,Mens Denim,Mens,
3,North,C,Jalandhar,71ffsoh5,24'',91'',ESML,,1,15.16666667,,1,Frontlit,Pillar,Mens,Mens,
4,North,C,Jalandhar,71FFSOH6,32'',97'',ESML,,1,21.55555556,,1,Frontlit,Pillar,Mens Formal,Mens,
5,North,C,Jalandhar,71FFSOH8,30'',97'',ESML,,1,20.20833333,,,,,,,
6,North,C,Jalandhar,71FFSOH10,26'',97'',ESML,,1,17.51388889,,,,,,,
7,North,C,Jalandhar,71FFSOH11,24'',97'',ESML,,1,16.16666667,,1,Frontlit,Pillar,Mens Footwear,Leather,
8,North,C,Jalandhar,71ffsoh13,31'',89'',ESML,,1,19.15972222,,1,Frontlit,Pillar,Mens Denim,Mens,
9,North,C,Jalandhar,71FFSOH16,32'',96'',ESML,,1,21.33333333,,1,Frontlit,Pillar,Mens Denim,Mens,
32,North,C,Jalandhar,71SFW3,19',97',Star flex,,1,12.79861111,,2,Frontlit,Window,Ladies,Ladies,
10,North,C,Jalandhar,71FFSOH18,49'',97'',ESML,,1,32.67013889,,,,,,,
11,North,C,Jalandhar,71ffsoh20,179'',82'',Backlit Fabric with silicon strip,,1,101.9305556,,,,,,,
12,North,C,Jalandhar,71FFW1,177'',108'',ESML,,1,132.75,,1,Frontlit,Window,Mens,Mens,
13,North,C,Jalandhar,71FFW2,172'',109'',ESML,,1,130.1944444,,1,Frontlit,Window,Mens,Mens,
14,North,C,Jalandhar,71FFW3,240'',99'',Flex,,1,165,,1,Frontlit,Window,Mens,Mens,
15,North,C,Jalandhar,71GFSOH2,36'',97'',ESML,,1,24.25,,0,Frontlit,Pillar,Indian Wear,Ladies,
16,North,C,Jalandhar,71GFSOH3,49'',91'',ESML,,1,30.64930556,,0,Frontlit,Stairway,Generic,Generic,
17,North,C,Jalandhar,71GFSOH4,37'',97'',ESML,,1,24.58680556,,0,Frontlit,Pillar,Indian Wear,Ladies,
18,North,C,Jalandhar,71GFSOH5,37'',97'',ESML,,1,24.92361111,,0,Frontlit,Pillar,Indian Wear,Ladies,
19,North,C,Jalandhar,71gfsoh8,24'',92'',ESML,,1,15.33333333,,0,Frontlit,Pillar,Indian Wear,Ladies,
20,North,C,Jalandhar,71gfsoh9,31'',97'',ESML,,1,20.88194444,,,,,,,
21,North,C,Jalandhar,71GFSOH15,25'',96'',ESML,,1,16.66666667,,0,Frontlit,Pillar,Handbags,Leather,
22,North,C,Jalandhar,71GFSOH16,33'',96'',ESML,,1,22,,0,Frontlit,Pillar,Handbags,Leather,
23,North,C,Jalandhar,71GFSOH18,31'',96'',ESML,,1,20.66666667,,,,,,,
24,North,C,Jalandhar,71GFSOH22,52'',"98""",ESML,,1,#VALUE!,,,,,,,
25,North,C,Jalandhar,71gfsoh23,24'',99'',ESML,,1,16.5,,0,Frontlit,Pillar,Fragrance,Beauty,
26,North,C,Jalandhar,71GFSOH25,49'',92'',ESML,,1,30.98611111,,0,Frontlit,Pillar,Indian Wear,Ladies,
27,North,C,Jalandhar,71GFSOH26,25'',92'',ESML,,1,15.97222222,,0,Frontlit,Pillar,Sunglass,Non-apps,
28,North,C,Jalandhar,71SFSOH10,25'',97'',ESML,,1,16.84027778,,2,Frontlit,Pillar,Home,Home,
29,North,C,Jalandhar,71SFSOH11,24'',97'',ESML,,1,16.16666667,,2,Frontlit,Pillar,Ladies Western,Ladies,
30,North,C,Jalandhar,71SFW1,104'',108'',ESML,,1,78,,2,Frontlit,Window,Ladies,Ladies,
31,North,C,Jalandhar,71SFW2,105'',109'',ESML,,1,79.47916667,,2,Frontlit,Window,Ladies,Ladies,
32,North,C,Jalandhar,71GFSOH1,,,Need Recce,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
33,North,C,Jalandhar,71GFSOH9A,,,Need Recce,,,,,0,Frontlit,Cash Counter,Ladies Footwear,Leather,
34,North,C,Jalandhar,71GFSOH9B,,,Actual,,,,,0,Frontlit,Cash Counter,Ladies Footwear,Leather,
35,North,C,Jalandhar,71GFSOH9C,,,Actual,,,,,0,Frontlit,Cash Counter,Ladies Footwear,Leather,
36,North,C,Jalandhar,71GFSOH16B,,,Actual,,,,,0,Frontlit,Pillar,Handbags,Leather,
37,North,C,Jalandhar,71GFSOH18A,,,Actual,,,,,0,Frontlit,Pillar,Handbags,Leather,
38,North,C,Jalandhar,71GFSOH18B,,,Actual,,,,,0,Frontlit,Pillar,Handbags,Leather,
39,North,C,Jalandhar,71GFSOH20,31'',99'',ESML,,1,21.3125,,0,Frontlit,Pillar,Fragrance,Beauty,
40,North,C,Jalandhar,71GFSOH21A,27'',100'',ESML,,1,18.75,,0,Frontlit,Pillar,Fragrance,Beauty,
41,North,C,Jalandhar,71GFSOH21B,27'',99'',ESML,,1,18.5625,,0,Frontlit,Pillar,Fragrance,Beauty,
42,North,C,Jalandhar,71FFSOH2,,,Need Recce,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
43,North,C,Jalandhar,71FFSOH8A,,,Actual,,,,,1,Frontlit,Pillar,Mens Footwear,Leather,
44,North,C,Jalandhar,71FFSOH8B,,,Actual,,,,,1,Frontlit,Pillar,Mens Footwear,Leather,
45,North,C,Jalandhar,71FFSOH14,,,Need Recce,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
46,North,C,Jalandhar,71FFSOH17,,,Need Recce,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
47,North,C,Jalandhar,71FFCC1,,,Actual,,,,,1,Frontlit,Cash Counter,Mens,Mens,
48,North,C,Jalandhar,71SFSOH3,27'',97'',ESML,,1,18.1875,,2,Frontlit,Pillar,Kids,kids,
