58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
52,South,B,Prestige Kanakpura,8523GFFB2,96'',93'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Façade,Beauty,Beauty,
53,South,B,Prestige Kanakpura,8523GFFB3,96'',93'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Façade,Generic,Generic,
54,South,B,Prestige Kanakpura,8523GFSV1,15'',56'',Translite Flim,,12,,,0,Frontlit,Sensomatic,Beauty,Beauty,
55,South,B,Prestige Kanakpura,8523GFSV2,15'',56'',Translite Flim,,10,,,0,Frontlit,Sensomatic,Beauty,Beauty,
56,South,B,Prestige Kanakpura,8523DS03,Actuals,Actuals,MP4/JPEG,,,,,1,Digital,Digital,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,B,Garuda,2GFV1,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
2,South,B,Garuda,2GFV2,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
3,South,B,Garuda,2GFV3,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
4,South,B,Garuda,2GFV4,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
5,South,B,Garuda,2GFV5,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
6,South,B,Garuda,2GFV6,23'',86'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
7,South,B,Garuda,2GFV7,23'',83'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
8,South,B,Garuda,2GFV8,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Lingerie,Ladies,
9,South,B,Garuda,2GFV9,23'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Lingerie,Ladies,
10,South,B,Garuda,2GFV10,41'',90'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
11,South,B,Garuda,2GFV11,47'',104'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
12,South,B,Garuda,2FFV1,60'',100'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Façade,Indian Wear,Ladies,
13,South,B,Garuda,2FFV2,23'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Kids Boy,Kids,
14,South,B,Garuda,2FFV3,23'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
15,South,B,Garuda,2FFV4,23'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Kids girl,Kids,
16,South,B,Garuda,2FFV5,23'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
17,South,B,Garuda,2FFV6,47'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Stairway,Kids Infant,Kids,
18,South,B,Garuda,2SFV1,61'',100'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Façade,Mens,Mens,
19,South,B,Garuda,2SFV2,23'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
20,South,B,Garuda,2SFV3,33'',106'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
21,South,B,Garuda,2SFV4,20'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
22,South,B,Garuda,2SFV6,"88""","79""",Backlit Fabric with Silion Strips,,,,,2,Backlit,Façade,Mens,Mens,
23,South,B,Garuda,2SFV7,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
24,South,B,Garuda,2L1ODV3,88'',81'',Eco Solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Façade,Fragrance,Beauty,
25,South,B,Garuda,2L1ODV1,89'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Façade,Generic,Generic,
26,South,B,Garuda,2L1ODV2,89'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Façade,Generic,Generic,
27,South,B,Garuda,2L1ODV4,89'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Façade,Generic,Generic,
28,South,B,Garuda,2L1ODV5,89'',82'',Eco Solvent self adhesive vinyl with matt lamination,,,,,,,,,,
29,South,B,Garuda,2L1ODV6,89'',82'',Eco Solvent self adhesive vinyl with matt lamination,,,,,,,,,,
30,South,B,Garuda,2L2ODV4,89'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Façade,Generic,Generic,
31,South,B,Garuda,2L2ODV1,88'',81'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Frontlit,Façade,Generic,Generic,
32,South,B,Garuda,2L2ODV2,89'',82'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Frontlit,Façade,Generic,Generic,
33,South,B,Garuda,2L3ODV2,88'',81'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Frontlit,Façade,Generic,Generic,
34,South,B,Garuda,2L3ODV3,88'',81'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Frontlit,Façade,Generic,Generic,
35,South,B,Garuda,2L3ODV4,88'',81'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Frontlit,Façade,Generic,Generic,
36,South,B,Garuda,2FFCC1,164'',51'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Cash Counter,Indian Wear,Ladies,
37,South,B,Garuda,2FFSV1,30'',60'',Digital print on 5mm sunboard,5.5,3,,,1,Frontlit,Sensomatic,Indian Wear,Ladies,
38,South,B,Garuda,2GFCC1,159'',51'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Generic,Generic,
39,South,B,Garuda,2GFSV1,13'',55'',Translite Flim,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps,
40,South,B,Garuda,2GFSV2,13'',55'',Translit Film,,,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
41,South,B,Garuda,2SFCC1,154'',72'',Eco Solvent self adhesive vinyl with matt lamination,,,,,2,Backlit,Cash Counter,Mens,Mens,
42,South,B,Garuda,2DS01,23'',33'',MP4/JPEG,,,,,0,Digital,Digital,Generic,Generic,
43,South,B,Garuda,2SFV5,48'',103'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Stairway,Mens Denim,Mens,
44,South,B,Garuda,2SFSV1,30'',61'',Digital print on 5mm sunboard,5.5,3,,,2,Frontlit,Sensomatic,Mens,Mens,
45,South,B,Garuda,2L2ODV3,89'',83'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Façade,Generic,Generic,
46,South,B,Garuda,2L3ODV1,90'',82'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Façade,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,C,Mysore,61GFV3,32'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
2,South,C,Mysore,61GFV5,32'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
3,South,C,Mysore,61FFCC1,161'',60'',Backlit Fabric with silicon strips,,,,,1,Backlit,Cash Counter,Mens,Mens,
4,South,C,Mysore,61SFCC1,163'',60'',Backlit Fabric with silicon strips,,,,,2,Backlit,Cash Counter,Kids,Kids,
5,South,C,Mysore,61SFV1,43'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Kids Boy,Kids,
6,South,C,Mysore,61SFW3,163'',110'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Window,Kids,Generic,
7,South,C,Mysore,61FFBL1,48'',84'',Fabric silicon,,,,,1,Backlit,Façade,Mens,Mens,
8,South,C,Mysore,61FFBL2,48'',84'',Fabric silicon,,,,,1,Backlit,Façade,Mens,Mens,
9,South,C,Mysore,61FFSV1,31'',61'',sbv 3nos greyback vinyl 3nos tatal 6nos,6,,,,1,Frontlit,Sensomatic,Mens,Mens,
10,South,C,Mysore,61FFV1,42'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
11,South,C,Mysore,61FFV2,96'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Athleisure,Mens,
12,South,C,Mysore,61FFW1,352'',115'',Esml,,,,,1,Frontlit,Window,Mens,Mens,
13,South,C,Mysore,61GFD1,60'',96'',Eco solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Façade,Non-apps,Non-apps,
14,South,C,Mysore,61GFSV1,30'',60'',Eco Solvent Self adhesive vinyl with matt lamination,4.5,,,,0,Frontlit,Sensomatic,Beauty,Beauty,
15,South,C,Mysore,61GFV1,43'',106'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Handbags,Leather,
16,South,C,Mysore,61GFV2,43'',106'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Handbags,Leather,
17,South,C,Mysore,61GFV4,32'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
18,South,C,Mysore,61GFV6,96'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Stairway,Ladies Western,Ladies,
19,South,C,Mysore,61GFW1,300'',112'',"flex and floor flex 333""x50""",,,,,0,Frontlit,Window,Ladies,Ladies,
20,South,C,Mysore,61SFV2,43'',107'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Home,Home,
21,South,C,Mysore,61SFV3,43'',107'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Pillar,Kids Boy,Kids,
22,South,C,Mysore,61SFW1,310'',127'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Window,Generic,Generic,
23,South,C,Mysore,61FFSW1,259'',122'',,,,,,,,,,,
24,South,C,Mysore,61SFW2,352'',110'',Grey Back Self adhesive vinyl with matt lamination,,,,,2,Frontlit,Window,Generic,Generic,
25,South,C,Mysore,61SFW3,160'',112'',ESML,,,,,2,Frontlit,Window,Kids,Generic,
26,South,C,Mysore,61SWFL1,318'',112'',ESML,,,,,2,Frontlit,Stairway,Kids,Kids,
27,South,C,Mysore,61SWFL2,338'',112'',,,,,,,,,,,
28,South,C,Mysore,61SFSV1,33'',61'',Grey Back Self adhesive vinyl with matt lamination,8.25,,,,2,Frontlit,Sensomatic,Kids,Kids,
29,South,C,Mysore,61SFBL1,49'',85'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Façade,Kids,Kids,
30,South,C,Mysore,61SFBL2,49'',85'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Façade,Home,Home,
,,,,,,,,,,,,,,,,,
1,South,C,Vizag,99GFV5,31'',115'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
2,South,C,Vizag,99FB1,68'',97'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Façade,Generic,Generic,
3,South,C,Vizag,99FB2,56'',68'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Façade,Generic,Generic,
4,South,C,Vizag,99FB3,56'',68'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Façade,Generic,Generic,
5,South,C,Vizag,99FB4,56'',68'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Façade,Generic,Generic,
6,South,C,Vizag,99SFV1,25'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Athleisure,Mens,
7,South,C,Vizag,99SFV2,25'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
8,South,C,Vizag,99SFV3,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
9,South,C,Vizag,99SFV4,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
10,South,C,Vizag,99SFV5,25'',104'',Backlit Fabric with Silicon Strip,,,,,2,Frontlit,Pillar,Mens Denim,Mens,
11,South,C,Vizag,99SFV6,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
12,South,C,Vizag,99SFV7,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
13,South,C,Vizag,99SFV8,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
14,South,C,Vizag,99SFV9,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
15,South,C,Vizag,99SFV10,49'',104'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Pillar,Mens Denim,Mens,
16,South,C,Vizag,99TFV1,49'',104'',Backlit Fabric with Silicon Strip,,,,,3,Backlit,Pillar,Luggage,Luggage,
17,South,C,Vizag,99SFCC1,148'',60'',Backlit Fabric with Silicon Strip,,,,,2,Backlit,Cash Counter,Mens Denim,Mens,
18,South,C,Vizag,99TFV2,24'',103'',Backlit Fabric with Silicon Strip,,,,,3,Backlit,Pillar,Mens Formal,Mens,
19,South,C,Vizag,99TFV3,25'',104'',Backlit Fabric with Silicon Strip,,,,,3,Backlit,Pillar,Kids,Kids,
20,South,C,Vizag,99TFCC1,116'',53'',Backlit Fabric with Silicon Strip,,,,,3,Backlit,Cash Counter,Mens Formal,Generic,
21,South,C,Vizag,99GFSV1,15'',56'',Translite Flim,,,,,0,Frontlit,Sensomatic,Generic,Generic,
22,South,C,Vizag,99TFV4,25'',96'',Backlit Fabric with Silicon Strip,,,,,3,Backlit,Pillar,Ugs,Mens,
23,South,C,Vizag,99DS01,,,MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
24,South,C,Vizag,99FB4,56'',68'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Façade,Generic,Generic,
25,South,C,Vizag,99FFV1,25'',104'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Lingerie,Ladies,
26,South,C,Vizag,99FFV2,49'',104'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Home,Home,
27,South,C,Vizag,99FFV3,49'',104'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Ladies Western,Ladies,
28,South,C,Vizag,99FFV4,25'',104'',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
29,South,C,Vizag,99GFCC1,123'',60'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Cash Counter,Ladies Western,Ladies,
30,South,C,Vizag,99GFV1,55'',117'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Watches,Non-apps,
31,South,C,Vizag,99GFV2,59'',116'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
32,South,C,Vizag,99GFV3,34'',116'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
33,South,C,Vizag,99GFV4,59'',115'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
34,South,C,Vizag,99GFSV2,16'',56'',Translite Flim,,8,,,-1,Frontlit,Sensomatic,Non-apps,Non-apps,
,,,,,,,,,,,,,,,,,
1,South,C,Vijayawada,58GFFL1,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Beauty,Beauty,
2,South,C,Vijayawada,58GFFL2,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,,,,,,
3,South,C,Vijayawada,58GFFL2BC,,,,,,,,,,,,,
4,South,C,Vijayawada,58GFFL3AB,,,,,,,,,,,,,
5,South,C,Vijayawada,58GFFL3BC,,,,,,,,,,,,,
6,South,C,Vijayawada,58GFFL4,"43.5""","104.5""",Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Watches,Non-apps,
7,South,C,Vijayawada,58GFFL5,"43.5""","104.5""",Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Beauty,Beauty,
8,South,C,Vijayawada,58GFFL6,"43.5""","43.5""",Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Beauty,Beauty,
9,South,C,Vijayawada,58GFFL7,75'',114'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Watches,Non-apps,
10,South,C,Vijayawada,58GFFL8,38'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Watches,Non-apps,
11,South,C,Vijayawada,58GFFL9,"43.5""","104.5""",Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Ladies Western,Ladies,
12,South,C,Vijayawada,58GFFL10,"43.5""","104.5""",Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Home,Home,
13,South,C,Vijayawada,58GFFL11,"43.5""","104.5""",Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
14,South,C,Vijayawada,58GFFL13AB,,,,,,,,,,,,,
15,South,C,Vijayawada,58GFFL14A,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Women Athleisure,Ladies,
16,South,C,Vijayawada,58GFFL14B,43'',96'',Eco Solvent self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Women Athleisure,Ladies,
17,South,C,Vijayawada,58GFFL15,39'',108'',Black Back Back Viny + matt lamination,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
18,South,C,Vijayawada,58GFFL16,73'',120'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
19,South,C,Vijayawada,58GFFL17,66'',120'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
20,South,C,Vijayawada,58FFFL1,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
21,South,C,Vijayawada,58FFFL2,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
22,South,C,Vijayawada,58FFFL3,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
23,South,C,Vijayawada,58FFFL4,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
24,South,C,Vijayawada,58FFFL5,43'',97'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Home,Home,
25,South,C,Vijayawada,58FFFL6,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
26,South,C,Vijayawada,58FFFL7,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Kids girl,Kids,
27,South,C,Vijayawada,58FFFL8,43'',97'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
28,South,C,Vijayawada,58FFFL9AB,,,,,,,,,,,,,
29,South,C,Vijayawada,58FFFL10,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ugs,Mens,
30,South,C,Vijayawada,58FFFL11,43'',96'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Ugs,Mens,
31,South,C,Vijayawada,58FFFL13,36'',96'',Eco Solvent self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Kids girl,Kids,
32,South,C,Vijayawada,58FFCC1,8',6',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Cash Counter,Mens Denim,Mens,
33,South,C,Vijayawada,58FFCC2,8',6',Backlit Fabric with Silicon Strip,,,,,1,Backlit,Cash Counter,Ladies Western,Ladies,
34,South,C,Vijayawada,58GFSV1,31'',62'',Grey Back Self adhesive vinyl with matt lamination,"5.2""",2,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
35,South,C,Vijayawada,58GFW1,130'',119'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Window,Non-apps,Non-apps,
36,South,C,Vijayawada,58SWFL1,179'',89'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Stairway,Ladies Western,Ladies,
37,South,C,Vijayawada,58SWFL1,180'',90'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Stairway,Ladies Western,Ladies,
38,South,C,Vijayawada,58SWFL2,13',9',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Stairway,Non-apps,Non-apps,
39,South,C,Vijayawada,58SWFL3,50'',85'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Stairway,Mens,Mens,
40,South,C,Vijayawada,58SWFL4,49'',85'',Eco Solvent Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Stairway,Mens,Mens,
41,South,C,Vijayawada,58GFFL2A,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
42,South,C,Vijayawada,58GFFL3,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Sunglass,Non-apps,
43,South,C,Vijayawada,58GFFL12,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
44,South,C,Vijayawada,58GFFL13,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Lingerie,Ladies,
45,South,C,Vijayawada,58GFFL18,Actuals,Actuals,Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Indian Wear,Ladies,
46,South,C,Vijayawada,58FFFL9,43'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Formal,Mens,
47,South,C,Vijayawada,58FFFL12,38'',96'',Grey Back Self adhesive vinyl with matt lamination,,,,,1,Frontlit,Pillar,Mens Denim,Mens,
,,,,,,,,,,,,,,,,,
1,South,A,GVK,22GFV1,"24""",102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
2,South,A,GVK,22GFDS01,20'',28'',MP4/JPEG,,,,,0,Digital,Store Entrance,Generic,Generic,
3,South,A,GVK,22GFDS02,83'',35'',MP4/JPEG,,,,,0,Digital,Cash Counter,Generic,Generic,
4,South,A,GVK,22GFV3,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Beauty,Beauty,
5,South,A,GVK,22GFV5,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
6,South,A,GVK,22GFV6,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
7,South,A,GVK,22FFV1,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
8,South,A,GVK,22FFV2,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
9,South,A,GVK,22FFV3,75'',105'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Lingerie,Ladies,
10,South,A,GVK,22FFV4,90'',35'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Lingerie,Ladies,
11,South,A,GVK,22FFV5,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Handbags,Leather,
12,South,A,GVK,22FFV6,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Kids Infant,Kids,
13,South,A,GVK,22FFV7,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Handbags,Leather,
14,South,A,GVK,22FFV8,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
15,South,A,GVK,22FFV9,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Kids Boy,Kids,
16,South,A,GVK,22FFV10,24'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Kids girl,Kids,
17,South,A,GVK,22FFV11,83'',102'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Indian Wear,Ladies,
18,South,A,GVK,22SFV2,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
19,South,A,GVK,22SFV4,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Athleisure,Mens,
20,South,A,GVK,22SFV5,36'',103'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Ethnic,Mens,
21,South,A,GVK,22SFV8,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
22,South,A,GVK,22SFV10,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
23,South,A,GVK,22SFV12,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Formal,Mens,
24,South,A,GVK,22FFCC1,188'',55'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Cash Counter,Indian Wear,Ladies,
25,South,A,GVK,22GFDS02,83'',35'',MP4/JPEG,,,,,0,Digital,Cash Counter,Generic,Generic,
26,South,A,GVK,22GFSV1,"13.5""","55.5""",Qty-8,,,,,0,Frontlit,Sensomatic,Fragrance,Beauty,
27,South,A,GVK,22GFV2,102'',40'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
28,South,A,GVK,22GFV3,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
29,South,A,GVK,22GFV4,56'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
30,South,A,GVK,22GFV5,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
31,South,A,GVK,22GFV6,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
32,South,A,GVK,22GFV7,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Sunglass,Non-apps,
33,South,A,GVK,22GFV8,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
34,South,A,GVK,22GFV9,24'',102'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
35,South,A,GVK,22GFV10,75'',104'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Fragrance,Beauty,
36,South,A,GVK,22SFCC1,80'',327'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Cash Counter,Mens,Mens,
37,South,A,GVK,22SFW1,127'',94'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Window,Mens,Mens,
38,South,A,GVK,22SFV13,59'',103'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens,Mens,
39,South,A,GVK,22SFV11,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens,Mens,
40,South,A,GVK,22SFV9,24'',102'',Backlit Fabric with Silion Strips,,,,,2,Backlit,Pillar,Mens Denim,Mens,
