58gffl5,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,,Cost,Level,Inventory Medium,Inventory Type,Location,Category,Beauty SOH Type
43,South,B,Bannerghatta,16ATR6,"120"" +1"" bleed","120"" +1"" bleed",Backlit fabric with Silicon Strips,,,,,0,Backlit,Atrium,Non-apps,Non-apps,
44,South,B,Bannerghatta,16DD1,"118""","194""",Backlit fabric with Silicon Strips,,,,,0,Backlit,Façade,Generic,Generic,
45,South,B,Bannerghatta,16DD2,120,204,PVC material,,,,,0,Backlit,Façade,Generic,Generic,
46,South,B,Bannerghatta,16DD3,118'',197'',Backlit fabric with Silicon Strips,,,,,0,Backlit,Façade,Generic,Generic,
47,South,B,Bannerghatta,16DD4,120,204,PVC material,,,,,0,Backlit,Façade,Generic,Generic,
48,South,B,Bannerghatta,16DD5,120,204,PVC material,,,,,0,Backlit,Façade,Generic,Generic,
49,South,B,Bannerghatta,16DD6,120,204,PVC material,,,,,0,Backlit,Façade,Fragrance,Beauty,
50,South,B,Bannerghatta,16DSO1,,,LED,,,,,,,,,,
51,South,B,Bannerghatta,16V28,78'',124'',Grey Back Self adhesive vinyl with matt lamination,,,,,0,Frontlit,Pillar,Mens Denim,Mens,
52,South,B,Bannerghatta,16DTH1,50'',30'',Video in MP4 / jpeg slides,,,,,0,Digital,Store Entrance,Generic,Generic,
,,,,,,,,,,,,,,,,,
1,South,C,Calicut,262FFCC1,219'',78'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Cash Counter,Mens,Mens,
2,South,C,Calicut,262GFV1,41'',114'',Fabric,,,,,0,Backlit,Pillar,Watches,Non-apps,
3,South,C,Calicut,262GFV2,52'',119'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Watches,Non-apps,
4,South,C,Calicut,262GFV3,52'',118'',Fabric,,,,,0,Backlit,Pillar,Watches,Non-apps,
5,South,C,Calicut,262GFV4,25'',115'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Beauty,Beauty,
6,South,C,Calicut,262GFV5,25'',115'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Beauty,Beauty,
7,South,C,Calicut,262GFV6,25'',115'',Backlit Fabric with Silicon Strip,,,,,0,Backlit,Pillar,Handbags,Leather,
8,South,C,Calicut,262GFV7,25'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Handbags,Leather,
9,South,C,Calicut,262GFV8,25'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Western,Ladies,
10,South,C,Calicut,262GFV9,25'',119'',Fabric ,,,,,0,Backlit,Pillar,Lingerie,Ladies,
11,South,C,Calicut,262GFV10,25'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Kids girl,Kids,
12,South,C,Calicut,262GFV11,25'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Kids girl,Kids,
13,South,C,Calicut,262GFV13,25'',115'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Pillar,Ladies Indian,Ladies,
14,South,C,Calicut,262GFCC1,240'',79'',Backlit Fabric with Silion Strips,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps,
15,South,C,Calicut,262GFSV2,13'',55'',Translite Flim,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps,
16,South,C,Calicut,262FFV1,25'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
17,South,C,Calicut,262FFV2,60'',121'',Fabric ,,,,,1,Backlit,Pillar,Mens Denim,Mens,
18,South,C,Calicut,262FFV3,25'',115'',Backlit Fabric with Silion Strip,,,,,1,Backlit,Pillar,Mens Athleisure,Mens,
19,South,C,Calicut,262FFV4,25'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Athleisure,Mens,
20,South,C,Calicut,262FFV5,25'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
21,South,C,Calicut,262FFV6,25'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
22,South,C,Calicut,262FFV7,24'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Formal,Mens,
23,South,C,Calicut,262FFV8,47'',115'',Backlit Fabric with Silion Strips,,,,,1,Backlit,Pillar,Mens Casual,Mens,
24,South,C,Calicut,262FFSV1,13'',55'',Translite Flim,,,,,1,Frontlit,Sensomatic,Mens,Mens,
25,South,C,Calicut,262FFSV2,13'',55'',Translite Flim,,,,,1,Frontlit,Sensomatic,Mens,Mens,
