,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category,Category,Comments
51,West,A,Andheri,1FFAV3,,,Scaffolding needed to recce - HOLD,,,,,1,Frontlit,Atrium,Mens Formal,Mens,,
52,West,A,Andheri,1FFAV4,5'4'',19'2'',size shared by Ajay (flex/vinyl),0,3,72,,1,Frontlit,Atrium,Mens Denim,Mens,,
53,West,A,Andheri,1FFAV6,,,Scaffolding needed to recce - HOLD,,,,,1,Frontlit,Atrium,Mens Denim,Mens,,
54,West,A,Andheri,1FFAV5,"9'4"" + 2"" bleed all around","11' 3"" + 2"" bleed all around",Star Flex,0,3,,,1,Frontlit,Atrium,Mens Denim,Mens,,
55,,,,,,,Scaffolding,,,,,,,,,,,
56,West,A,Andheri,1FFAV5A,540'',135'',Star Flex,0,1,506.25,,1,Frontlit,Atrium,Mens Denim,Mens,,
57,West,A,Andheri,1SFCC1,178'',103'',ESML,,,127.3194444,,2,Frontlit,Cash Counter,Indian Wear,Ladies,,
58,West,A,Andheri,1TFFL1,41'',85'',Grey Back Vinyl,0,1,24.20138889,,3,Frontlit,Pillar,Ladies Western,Ladies,,
59,West,A,Andheri,1TFFL2,33'',85'',ESML,0,1,19.47916667,,3,Frontlit,Pillar,Ladies Western,Ladies,,
60,West,A,Andheri,1TFFL3,24'',72'',ESML,0,1,12,,3,Frontlit,Pillar,Ladies Western,Ladies,,
61,West,A,Andheri,1TFFL4,24'',72'',ESML,,1,12,,3,Frontlit,Pillar,Ladies Western,Ladies,,
62,West,A,Andheri,1TFBL4,36'',107'',Backlit Fabric with Silion Strips,0,1,26.37847222,,3,Backlit,Pillar,Ladies Western,Ladies,,
63,West,A,Andheri,1TFCC1,225'',109'',ESML,,1,170.3125,,3,Frontlit,Cash Counter,Ladies Western,Ladies,,
64,West,A,Andheri,1FTFFL1,58'',85'',ESML,,1,34.23611111,,4,Frontlit,Pillar,Footwear,Leather,,
65,West,A,Andheri,1FTFFL2,36'',96'',ESML,0,1,24,,4,Frontlit,Pillar,Footwear,Leather,,
66,West,A,Andheri,1FTFBL1,48'',108'',Backlit Fabric with Silion Strips,,1,36,,4,Backlit,Pillar,Footwear,Leather,,
67,West,A,Andheri,1SWFL1 (3vis),37'',73'',ESML,0,3,18.75694444,,1,Frontlit,Stairway,Mens Denim,Mens,,
68,West,A,Andheri,1SWFL2 (2vis),37'',73'',ESML,,2,18.75694444,,1,Frontlit,Stairway,Mens Denim,Mens,,
69,West,A,Andheri,1SWFL3 (2vis),37'',73'',ESML,,2,18.75694444,,2,Frontlit,Stairway,Indian Wear,Ladies,,
70,West,A,Andheri,1SWFL4,37'',73'',ESML,0,1,18.75694444,,2,Frontlit,Stairway,Indian Wear,Ladies,,
71,West,A,Andheri,1SWFL5,37'',73'',ESML,,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
72,West,A,Andheri,1SWFL6,37'',73'',ESML,,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
73,West,A,Andheri,1SWFL7,37'',73'',ESML,,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
74,West,A,Andheri,1SWFL8,37'',73'',ESML,0,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
75,West,A,Andheri,1SWFL9,37'',73'',ESML,,1,18.75694444,,3,Frontlit,Stairway,Indian Wear,Ladies,,
76,West,A,Andheri,1SWFL10,37'',73'',ESML,,1,18.75694444,,2,Frontlit,Stairway,Indian Wear,Ladies,,
77,West,A,Andheri,1SWFL11,37'',73'',ESML,0,1,18.75694444,,2,Frontlit,Stairway,Indian Wear,Ladies,,
78,West,A,Andheri,1SWFL12,37'',73'',ESML,,1,18.75694444,,1,Frontlit,Stairway,Mens Denim,Mens,,
79,West,A,Andheri,1SWFL13,37'',73'',ESML,,1,18.75694444,,1,Frontlit,Stairway,Mens Denim,Mens,,
80,West,A,Andheri,1LD1,49'',149'',ESML,0,1,50.70138889,,0,Frontlit,Stairway,Mens,Mens,,
81,West,A,Andheri,1LD2,117'',144'',ESML,0,1,117,,0,Frontlit,Stairway,Mens,Mens,,
82,West,A,Andheri,1LD3,49'',145'',VOSB,0,1,49.34027778,,0,Frontlit,Stairway,Mens,Mens,,
83,West,A,Andheri,1LD4,49'',145'',ESML,0,1,48.83680556,,0,Frontlit,Stairway,Mens,Mens,,
84,West,A,Andheri,1LD5,126'',144'',ESML,,1,126,,0,Frontlit,Stairway,Mens,Mens,,
85,West,A,Andheri,1LD6,146'',86'',ESML,0,1,87.19444444,,2,Frontlit,Stairway,Ladies,Ladies,,
86,West,A,Andheri,1LD7,144'',124'',ESML,,1,124,,2,Frontlit,Stairway,Ladies,Ladies,,
