f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
31,East,B,Kol Acropolis,88FFSOH10,27'',109'',Eco Solvent Self adhesive vinyl with matt lamination,,1,20.4375,,1,Backlit,Pillar,Lingerie,Ladies
32,East,B,Kol Acropolis,88FFSOH12,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.74305556,,1,Frontlit,Pillar,Kids,Kids
33,East,B,Kol Acropolis,88FFSOH13,48'',109'',Backlit Fabric with silicon strip,,1,35.95486111,,1,Frontlit,Pillar,Kids,Kids
34,East,B,Kol Acropolis,88FFSOH14,,,Actual,,,,,1,Frontlit,Pillar,Kids,Kids
35,East,B,Kol Acropolis,88FFCC1,249'',84'',Backlit Fabric with silicon strip,,1,145.25,,1,Backlit,Cash Counter,Ladies,Ladies
36,East,B,Kol Acropolis,88SFSOH1,,,Actual,,,,,2,Frontlit,Pillar,Mens Formal,Mens
37,East,B,Kol Acropolis,88SFSOH4,69'',101'',Eco Solvent Self adhesive vinyl with matt lamination,,1,48.04513889,,2,Frontlit,Pillar,Mens Formal,Mens
38,East,B,Kol Acropolis,88SFSOH5,40'',129'',Eco Solvent Self adhesive vinyl with matt lamination,,1,35.38541667,,2,Frontlit,Pillar,Mens Denim,Mens
39,East,B,Kol Acropolis,88SFSOH6,,,Actual,,,,,2,Frontlit,Pillar,Mens Denim,Mens
40,East,B,Kol Acropolis,88SFSOH8,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,,,2,Frontlit,Pillar,Mens Denim,Mens
41,East,B,Kol Acropolis,88SFSOH10,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.74305556,,2,Frontlit,Pillar,Mens Athleisure,Mens
42,East,B,Kol Acropolis,88SFSOH11,43'',113'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.74305556,,2,Frontlit,Pillar,Luggage,Mens
43,East,B,Kol Acropolis,88DS01,,,ACTUAL PICTURE,,,,,0,Digital,Cash Counter,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,C,Kol 4,257L1SOH4,36'',107'',Eco Solvent Self adhesive vinyl with matt lamination,,1,26.25520833,,0,Frontlit,Pillar,Non-apps,Non-apps
2,East,C,Kol 4,257L1SOH7,24'',102'',Eco Solvent Self adhesive vinyl with matt lamination,,1,17,,0,Frontlit,Pillar,Indian Wear,Ladies
3,East,C,Kol 4,257L1SOH11,85'',90'',Eco Solvent Self adhesive vinyl with matt lamination,,1,53.325,,0,Frontlit,Façade,Generic,Generic
4,East,C,Kol 4,257L2SOH1,48'',125'',Eco Solvent Self adhesive vinyl with matt lamination,,1,41.6,,1,Frontlit,Pillar,Mens Formal,Mens
5,East,C,Kol 4,257L2SOH5,48'',119'',Eco Solvent Self adhesive vinyl with matt lamination,,1,39.5,,1,Frontlit,Pillar,Mens Denim,Mens
6,East,C,Kol 4,257L2SOH6,43'',120'',Eco Solvent Self adhesive vinyl with matt lamination,,1,36,,1,Frontlit,Pillar,Mens Denim,Mens
7,East,C,Kol 4,257L2SOH7,42'',116'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.95,,1,Frontlit,Pillar,Ladies Western,Ladies
8,East,C,Kol 4,257L2SOH8,42'',116'',Eco Solvent Self adhesive vinyl with matt lamination,,1,33.95,,1,Frontlit,Pillar,Ladies Western,Ladies
9,East,C,Kol 4,257L2SOH10,49'',120'',Eco Solvent Self adhesive vinyl with matt lamination,,1,40.66319444,,1,Frontlit,Pillar,Ladies Western,Ladies
10,East,C,Kol 4,257FFW1,143'',132'',FRONTLIT FLEX ,,1,131.2819444,,1,Frontlit,Façade,Fragrance,Beauty
11,East,C,Kol 4,257FFW3,271'',142'',FRONTLIT FLEX ,,1,267.2361111,,1,Frontlit,Façade,Generic,Generic
12,East,C,Kol 4,257FFW4,172'',140'',FRONTLIT FLEX ,,1,167.2222222,,1,Frontlit,Façade,Generic,Generic
13,East,C,Kol 4,257FFW5,126'',140'',FRONTLIT FLEX ,,1,122.5,,1,Frontlit,Façade,Generic,Generic
14,East,C,Kol 4,257L1SOH2,35'',105'',Eco Solvent Self adhesive vinyl with matt lamination,,4pc,25.52083333,,0,Frontlit,Pillar,Fragrance,Beauty
15,East,C,Kol 4,257GFSV1,17'',52'',TRANSLIT FILM ,,1,6.138888889,,0,Frontlit,Sensomatic,Fragrance,Beauty
16,East,C,Kol 4,257L1SOH3,35'',105'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.52083333,,0,Frontlit,Pillar,Fragrance,Beauty
17,East,C,Kol 4,257FFCC1,135'',71'',BL FABRIC ,,1,66.5625,,1,Backlit,Cash Counter,Mens,Mens
18,East,C,Kol 4,257L1SOH1,26'',111'',Eco Solvent Self adhesive vinyl with matt lamination,,1,19.95138889,,0,Frontlit,Pillar,Fragrance,Beauty
19,East,C,Kol 4,257L1SOH5,,,ACTUAL,,,,,0,Frontlit,Pillar,Indian Wear,Ladies
20,East,C,Kol 4,257L1SOH6,34'',79'',GB VINYL ,,1,18.26215278,,0,Frontlit,Pillar,Indian Wear,Ladies
21,East,C,Kol 4,257L1SOH8,,,ACTUAL,,,,,0,Frontlit,Pillar,Watches,Non-apps
22,East,C,Kol 4,257L1SOH9,,,ACTUAL,,,,,0,Frontlit,Pillar,Watches,Non-apps
23,East,C,Kol 4,257L1SOH10,,,ACTUAL,,,,,0,Frontlit,Façade,Generic,Generic
24,East,C,Kol 4,257GFW1,140'',116'',FRONTLIT FLEX ,,1,113.49,,0,Frontlit,Window,Beauty,Beauty
25,East,C,Kol 4,257GFW2,,,ACTUAL,,,,,0,Frontlit,Window,Generic,Generic
26,East,C,Kol 4,257GFW3,133'',114'',,,1,105.45,,0,Frontlit,Window,Generic,Generic
27,East,C,Kol 4,257GFCC1,,,ACTUAL,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps
28,East,C,Kol 4,257L2SOH2,,,ACTUAL,,,,,1,Frontlit,Pillar,Mens Formal,Mens
29,East,C,Kol 4,257L2SOH3,,,ACTUAL,,,,,1,Frontlit,Pillar,Mens Formal,Mens
30,East,C,Kol 4,257L2SOH4,4',9',GB VINYL ,,1,0.23125,,1,Frontlit,Pillar,Mens Formal,Mens
31,East,C,Kol 4,257L2SOH9,,,ACTUAL,,,,,1,Frontlit,Pillar,Ladies Western,Ladies
32,East,C,Kol 4,257FFW2,,,ACTUAL,,,,,1,Frontlit,Façade,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,C,KolMani Square,484GFV1,66'',113'',Backlit Fabric with Silicon Strip,,1,51.98784722,,0,Backlit ,Pillar,Beauty,Beauty
2,East,C,Kol Mani Square,484GFV2a,58'',139'',Backlit Fabric with Silicon Strip,,1,55.98611111,,0,Backlit ,Pillar,Fragrance,Beauty
3,East,C,Kol Manisquare,484SFV1,68'',93'',Backlit Fabric with Silicon Strip,,1,43.91666667,,2,Backlit ,Façade,Mens,Mens
4,East,C,Kol Manisquare,484GFCC1,143'',108'',Backlit Fabric with Silicon Strip,,1,106.7534722,,0,Backlit ,Cash Counter,Non-apps,Non-apps
5,East,C,Kol Manisquare,484GFV2b,38'',139'',Backlit Fabric with Silicon Strip,,1,36.68055556,,0,Backlit ,Pillar,Fragrance,Beauty
6,East,C,Kol Manisquare,484GFSV1,16'',52'',Translit,,10,5.868055556,,0,Frontlit,Sensomatic,Beauty,Beauty
7,East,C,Kol Manisquare,484FFV1,67'',113'',Backlit Fabric with Silicon Strip,,1,52.18402778,,1,Backlit ,Façade,Ladies,Ladies
8,East,C,Kol Manisquare,484FFV2,69'',113'',Backlit Fabric with Silicon Strip,,1,54.14583333,,1,Backlit ,Façade,Ladies,Ladies
9,East,C,Kol Manisquare,484FFV3,6'9,11'',Backlit Fabric with Silicon Strip,,1,5.03125,,1,Backlit ,Pillar,Ladies Western,Ladies
10,East,C,Kol Manisquare,484FFV4,48'',84'',Backlit Fabric with Silicon Strip,,1,28,,1,Backlit ,Stairway,Ladies,Ladies
11,East,C,Kol Manisquare,484FFCC1,181'',95'',Backlit Fabric with Silicon Strip,,1,118.78125,,1,Backlit ,Cash Counter,Ladies,Ladies
12,East,C,Kol Manisquare,484FFSV1,69'',93'',Backlit Fabric with Silicon Strip,,1,44.23958333,,1,Frontlit,Sensomatic,Ladies,Ladies
13,East,C,Kol Manisquare,484SFV2,69'',93'',Backlit Fabric with Silicon Strip,,1,44.23958333,,2,Backlit ,Façade,Mens,Mens
14,East,C,Kol Manisquare,484SFCC1,15.6,6'6,Backlit Fabric with Silicon Strip,,1,7.15,,2,Backlit ,Cash Counter,Mens,Mens
15,East,C,Kol Manisquare,484SFSV1,16'',52'',ESML,,8,5.777777778,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,C,Acropolis Siliguri,496GFSV1,17'',48'',TRANSLIT FILM ,,12,5.5,,0,Frontlit,Sensomatic,Non-apps,Non-apps
2,East,C,Acropolis Siliguri,496GFV1,36'',102'',Backlit Fabric with Silicon Strip,,1,25.5,,0,Backlit,Pillar,Fragrance,Beauty
3,East,C,Acropolis Siliguri,496FFV7,22'',102'',Backlit Fabric with Silicon Strip,,1,15.25902778,,1,Backlit,Pillar,Ladies Western,Ladies
4,East,C,Acropolis Siliguri,496GFV5,35'',102'',Backlit Fabric with Silicon Strip,,1,24.886875,,0,Backlit,Pillar,Handbags,Leather
5,East,C,Acropolis Siliguri,496FFV1,35'',102'',Backlit Fabric with Silicon Strip,,1,24.78859028,,1,Backlit,Pillar,Kids,Kids
6,East,C,Acropolis Siliguri,496FFV3,22'',102'',Backlit Fabric with Silicon Strip,,1,15.58333333,,1,Backlit,Pillar,Ladies Western,Ladies
7,East,C,Acropolis Siliguri,496FFV4,36'',10'',Backlit Fabric with Silicon Strip,,1,2.539236111,,1,Backlit,Pillar,Ladies Western,Ladies
8,East,C,Acropolis Siliguri,496FFV5,35'',102'',Backlit Fabric with Silicon Strip,,1,24.78859028,,1,Backlit,Pillar,Ladies Western,Ladies
9,East,C,Acropolis Siliguri,496FFV6,32'',102'',Backlit Fabric with Silicon Strip,,1,22.66666667,,1,Backlit,Pillar,Ladies Western,Ladies
10,East,C,Acropolis Siliguri,496FFCC1,125'',59'',Backlit Fabric with Silicon Strip,,1,51.01041667,,1,Backlit,Cash Counter,Indian Wear,Ladies
11,East,C,Acropolis Siliguri,496SFV2,36'',102'',Backlit Fabric with Silicon Strip,,1,25.14583333,,2,Backlit,Pillar,Mens Denim,Mens
12,East,C,Acropolis Siliguri,496SFV3,21'',102'',Backlit Fabric with Silicon Strip,,1,15.11708333,,2,Backlit,Pillar,Mens Denim,Mens
13,East,C,Acropolis Siliguri,496SFV4,22'',102'',Backlit Fabric with Silicon Strip,,1,15.58333333,,2,Backlit,Pillar,Mens Athleisure,Mens
14,East,C,Acropolis Siliguri,496SFV5,36'',102'',Backlit Fabric with Silicon Strip,,1,25.14583333,,2,Backlit,Pillar,Mens Denim,Mens
15,East,C,Acropolis Siliguri,496SFV6,36'',102'',Backlit Fabric with Silicon Strip,,1,25.14583333,,2,Backlit,Pillar,Mens Formal,Mens
16,East,C,Acropolis Siliguri,496SFV7,36'',102'',Backlit Fabric with Silicon Strip,,1,25.19513889,,2,Backlit,Pillar,Mens Denim,Mens
17,East,C,Acropolis Siliguri,496SFCC1,125'',57'',Backlit Fabric with Silicon Strip,,1,49.47916667,,2,Backlit,Cash Counter,Mens,Mens
18,East,C,Acropolis Siliguri,496GFV2,,,ACTUAL,,,,,0,Backlit,Pillar,Watches,Non-apps
19,East,C,Acropolis Siliguri,496GFV3,,,ACTUAL,,,,,0,Backlit,Pillar,Watches,Non-apps
20,East,C,Acropolis Siliguri,496GFV4,,,ACTUAL,,,,,0,Backlit,Pillar,Handbags,Leather
21,East,C,Acropolis Siliguri,496GFCC1,,,ACTUAL,,,,,0,Backlit,Cash Counter,Non-apps,Non-apps
22,East,C,Acropolis Siliguri,496FFV2,,,ACTUAL,,,,,1,Backlit,Pillar,Lingerie,Ladies
23,East,C,Acropolis Siliguri,496SFV1,,,,,,,,2,Backlit,Pillar,Ugs,Mens
24,East,C,Acropolis Siliguri,,,,,,,,,2,Backlit,Cash Counter,Mens,Mens
25,East,C,Acropolis Siliguri,496FFSV1,,,ACTUAL,,,,,1,Frontlit,Sensomatic,Ladies,Ladies
26,East,C,Acropolis Siliguri,496SFSV1,,,ACTUAL,,,,,2,Frontlit,Sensomatic,Mens,Mens
,,,,,,,,,,,,,,,,
1,East,D,New Town Kolkata,8521GFCC1,134'',58'',Backlit Fabric with Silicon Strip,,1,53.97222222,,0,Backlit,Cash Counter,Non-apps,Non-apps
2,East,D,New Town Kolkata,8521SFV3,36'',104'',Backlit Fabric with Silicon Strip,,,26,,2,Backlit,Pillar,Ugs,Mens
1,East,D,New Town Kolkata,8521GFV2,43'',108'',Backlit Fabric with Silicon Strip,,,32.25,,0,Backlit,Pillar,Handbags,Leather
2,East,D,New Town Kolkata,8521FFV2,36'',104'',Backlit Fabric with Silicon Strip,,,26,,1,Backlit,Pillar,Lingerie,Ladies
3,East,D,New Town Kolkata,8521FFV3,36'',104'',Backlit Fabric with Silicon Strip,,,26,,1,Backlit,Pillar,Kids,Kids
4,East,D,New Town Kolkata,8521FFV4,36'',104'',Backlit Fabric with Silicon Strip,,,26,,1,Backlit,Pillar,Ladies Western,Ladies
5,East,D,New Town Kolkata,8521FFV5,36'',104'',Backlit Fabric with Silicon Strip,,,26,,1,Backlit,Pillar,Ladies Western,Ladies
6,East,D,New Town Kolkata,8521FFV6,102'',114'',Backlit Fabric with Silicon Strip,,,80.75,,1,Backlit,Pillar,Ladies Western,Ladies
7,East,D,New Town Kolkata,8521SFV1,36'',104'',Backlit Fabric with Silicon Strip,,,26,,2,Backlit,Pillar,Mens Denim,Mens
8,East,D,New Town Kolkata,8521SFV2,36'',104'',Backlit Fabric with Silicon Strip,,,26,,2,Backlit,Pillar,Mens Ethnic,Mens
9,East,D,New Town Kolkata,8521SFV4,36'',104'',Backlit Fabric with Silicon Strip,,,26,,2,Backlit,Pillar,Mens Formal,Mens
10,East,D,New Town Kolkata,8521SFV5,111'',113'',Backlit Fabric with Silicon Strip,,,87.10416667,,2,Backlit,Pillar,Mens Denim,Mens
11,East,D,New Town Kolkata,8521SFCC1,136'',60'',Backlit Fabric with Silicon Strip,,,#VALUE!,,2,Backlit,Cash Counter,Mens,Mens
12,East,D,New Town Kolkata,8521GFV1,37'',108'',Backlit Fabric with Silicon Strip,,,27.75,,0,Backlit,Pillar,Ladies Footwear,Leather
13,East,D,New Town Kolkata,8521GFSV1,16'',56'',ESML,,6,6.027777778,,0,Frontlit,Sensomatic,Fragrance,Beauty
14,East,D,New Town Kolkata,8521FFV1,36'',104'',Backlit Fabric with Silicon Strip,,,26,,1,Backlit,Pillar,Indian Wear,Ladies
15,East,D,New Town Kolkata,8521SFV6,30'',103'',Backlit Fabric with Silicon Strip,,,21.45833333,,2,Backlit,Pillar,Mens Formal,Mens
16,East,D,New Town Kolkata,8521SFV7,48'',103'',Backlit Fabric with Silicon Strip,,,34.33333333,,2,Backlit,Pillar,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,C,Siliguri,67GFV21,38'',109'',Backlit Fabric with Silicon Strip,,1,28.76388889,,0,Backlit,Pillar,Beauty,Beauty
2,East,C,Siliguri,67GFSV1,16'',56'',Translit film ,,4,6.222222222,,0,Frontlit,Sensomatic,Generic,Generic
3,East,C,Siliguri,67GFV8,23'',90'',Backlit Fabric with Silicon Strip,,1,14.54833333,,0,Backlit,Pillar,Ladies Footwear,Leather
4,East,C,Siliguri,67GFV27,47'',90'',Backlit Fabric with Silicon Strip,,1,29.50555556,,0,Backlit,Pillar,Generic,Generic
5,East,C,Siliguri,67GFV2,,,ACTUAL,,,,,0,Backlit,Pillar,Watches,Non-apps
6,East,C,Siliguri,67GFV3,32'',109'',Backlit Fabric with Silicon Strip,,1,24.11111111,,0,Backlit,Pillar,Watches,Non-apps
7,East,C,Siliguri,67GFV4,40'',92'',Backlit Fabric with Silicon Strip,,1,25.55555556,,0,Backlit,Pillar,Watches,Non-apps
8,East,C,Siliguri,67GFV5,23'',91'',Backlit Fabric with Silicon Strip,,1,14.45486111,,0,Backlit,Pillar,Ladies Western,Ladies
9,East,C,Siliguri,67GFV6,29'',90'',Backlit Fabric with Silicon Strip,,1,18.125,,0,Backlit,Pillar,Indian Wear,Ladies
10,East,C,Siliguri,67GFV7,34'',95'',Backlit Fabric with Silicon Strip,,1,21.984375,,0,Backlit,Pillar,Indian Wear,Ladies
11,East,C,Siliguri,67GFV9,34'',95'',Backlit Fabric with Silicon Strip,,1,21.984375,,0,Backlit,Pillar,Mens Denim,Mens
12,East,C,Siliguri,67GFV10,29'',90'',Backlit Fabric with Silicon Strip,,1,18.16527778,,0,Backlit,Pillar,Mens Denim,Mens
13,East,C,Siliguri,67GFV11,29'',91'',Backlit Fabric with Silicon Strip,,1,18.22569444,,0,Backlit,Pillar,Mens Formal,Mens
14,East,C,Siliguri,67GFV12,31'',90'',Backlit Fabric with Silicon Strip,,1,19.10486111,,0,Backlit,Pillar,Mens Denim,Mens
15,East,C,Siliguri,67GFV13,29'',91'',Backlit Fabric with Silicon Strip,,1,18.22569444,,0,Backlit,Pillar,Mens Ethnic,Mens
16,East,C,Siliguri,67GFV14,29'',90'',Backlit Fabric with Silicon Strip,,1,18.16527778,,0,Backlit,Pillar,Mens Denim,Mens
17,East,C,Siliguri,67GFV15,29'',90'',Backlit Fabric with Silicon Strip,,1,18.16527778,,0,Backlit,Pillar,Kids,Kids
18,East,C,Siliguri,67GFV16,47'',90'',Backlit Fabric with Silicon Strip,,1,29.375,,0,Backlit,Pillar,Mens Denim,Mens
19,East,C,Siliguri,67GFV17,32'',95'',Backlit Fabric with Silicon Strip,,1,21.13125,,0,Backlit,Pillar,Mens Denim,Mens
20,East,C,Siliguri,67GFV18,29'',90'',Backlit Fabric with Silicon Strip,,1,18.375,,0,Backlit,Pillar,Sunglass,Non-apps
21,East,C,Siliguri,67GFV19,24'',91'',Backlit Fabric with Silicon Strip,,1,14.76909722,,0,Backlit,Pillar,Mens Denim,Mens
22,East,C,Siliguri,67GFV20,32'',89'',Backlit Fabric with Silicon Strip,,1,19.77777778,,0,Backlit,Pillar,Fragrance,Beauty
23,East,C,Siliguri,67GFV22,38'',110'',Backlit Fabric with Silicon Strip,,1,28.94861111,,0,Backlit,Pillar,Beauty,Beauty
24,East,C,Siliguri,67GFV23,24'',91'',Backlit Fabric with Silicon Strip,,1,14.76909722,,0,Backlit,Pillar,Ladies Western,Ladies
25,East,C,Siliguri,67GFV24,29'',90'',Backlit Fabric with Silicon Strip,,1,18.16527778,,0,Backlit,Pillar,Kids,Kids
26,East,C,Siliguri,67GFV25,36'',95'',Backlit Fabric with Silicon Strip,,1,23.296875,,0,Backlit,Pillar,Ladies Western,Ladies
27,East,C,Siliguri,67GFV26,34'',95'',Backlit Fabric with Silicon Strip,,1,21.984375,,0,Backlit,Pillar,Ladies Western,Ladies
28,East,C,Siliguri,67GFV28,30'',90'',Backlit Fabric with Silicon Strip,,1,18.9375,,0,Backlit,Pillar,Mens Denim,Mens
29,East,C,Siliguri,67GFCC1,281'',52'',Backlit Fabric with Silicon Strip,,1,100.3177083,,0,Backlit,Cash Counter,Generic,Generic
30,East,C,Siliguri,67DS01,,,N/A,,,,,0,Digital ,Store Entrance,Generic,Generic
,,,,,,,,,,,,,,,,
1,East,C,Durgapur,56SFV2,32'',102'',Backlit Fabric with Silicon Strip,,1,22.66666667,,2,Backlit,Pillar,Mens Formal,Mens
2,East,C,Durgapur,56GFV2,32'',94'',Backlit Fabric with Silicon Strip,,1,20.88888889,,0,Backlit,Pillar,Handbags,Leather
3,East,C,Durgapur,56GFV1,32'',95'',Backlit Fabric with Silicon Strip,,1,#VALUE!,,0,Backlit,Pillar,Beauty,Beauty
4,East,C,Durgapur,56FFSV1,15'',56'',VOSB BOX 5mm,7'',4,5.833333333,,1,Frontlit,Sensomatic,Mens,Mens
5,East,C,Durgapur,56GFV3,32'',94'',UV Backlit Fabric with Silicon Strip,,1,20.5625,,0,Backlit,Pillar,Handbags,Leather
6,East,C,Durgapur,56GFV4,29'',102'',UV Backlit Fabric with Silicon Strip,,1,20.54166667,,0,Backlit,Pillar,Ladies Footwear,Leather
7,East,C,Durgapur,56GFV5,24'',102'',UV Backlit Fabric with Silicon Strip,,1,16.64583333,,0,Backlit,Pillar,Watches,Non-apps
8,East,C,Durgapur,56GFV6,24'',102'',UV Backlit Fabric with Silicon Strip,,1,16.64583333,,0,Backlit,Pillar,Ladies Western,Ladies
9,East,C,Durgapur,56GFCC1,102'',45'',UV Backlit Fabric with Silicon Strip,,1,31.71875,,0,Backlit,Cash Counter,Non-apps,Non-apps
10,East,C,Durgapur,56FFV1,32'',103'',UV Backlit Fabric with Silicon Strip,,1,22.53125,,1,Backlit,Pillar,Indian Wear,Ladies
11,East,C,Durgapur,56FFV2,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,1,Backlit,Pillar,Mens Denim,Mens
12,East,C,Durgapur,56FFV3,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,1,Backlit,Pillar,Home,Home
13,East,C,Durgapur,56FFV4,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,1,Backlit,Pillar,Mens,Mens
14,East,C,Durgapur,56FFV5,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,1,Backlit,Pillar,Mens Denim,Mens
15,East,C,Durgapur,56FFCC1,89'',64'',UV Backlit Fabric with Silicon Strip,,1,39.24652778,,1,Backlit,Cash Counter,Mens Denim,Mens
16,East,C,Durgapur,56SFV1,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,2,Backlit,Pillar,Mens Athleisure,Mens
17,East,C,Durgapur,56SFV3,32'',102'',UV Backlit Fabric with Silicon Strip,,1,22.66666667,,2,Backlit,Pillar,Ugs,Mens
18,East,C,Durgapur,56SFV4,30'',102'',UV Backlit Fabric with Silicon Strip,,1,20.89583333,,2,Backlit,Pillar,Mens Athleisure,Mens
19,East,C,Durgapur,56SFV5,32'',103'',UV Backlit Fabric with Silicon Strip,,1,22.88888889,,2,Backlit,Pillar,Mens Denim,Mens
20,East,C,Durgapur,56SFV6,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,2,Backlit,Pillar,Mens Denim,Mens
21,East,C,Durgapur,56SFV7,32'',102'',UV Backlit Fabric with Silicon Strip,,1,22.66666667,,2,Backlit,Pillar,Mens Denim,Mens
22,East,C,Durgapur,56SFV8,35'',102'',UV Backlit Fabric with Silicon Strip,,1,24.79166667,,2,Backlit,Pillar,Mens Formal,Mens
23,East,C,Durgapur,56SFCC1,"113.5""",63'',UV Backlit Fabric with Silicon Strip,,1,#VALUE!,,2,Frontlit,Cash Counter,Mens Formal,Mens
24,East,C,Durgapur,56GFSV1,18'' 7”,66'',VOSB BOX 5mm,"7""",4,#VALUE!,,0,Frontlit,Sensomatic,Beauty,Beauty
25,East,C,Durgapur,56SFSV1,30'' d 6'',62'',VOSB BOX 5mm,6'',4,#VALUE!,,2,Frontlit,Sensomatic,Ladies,Ladies
,,,,,,,,,,,,,,,,
1,East,C,Raipur,66GFV3,36'',103'',Eco Solvent Self adhesive vinyl with matt lamination,,1,25.75,,0,Frontlit,Pillar,Watches,Non-apps
2,East,C,Raipur,66GFCC1,191'',46'',Backlit Fabric with silicon strips,,1,61.01388889,,0,Backlit,Cash Counter,Generic,Generic
3,East,C,Raipur,66GFV35,33'',103'',Eco Solvent Self adhesive vinyl with matt lamination,,1,23.60416667,,0,Frontlit,Pillar,Indian Wear,Ladies
4,East,C,Raipur,66GFW7,135'',120'',ESML,,1,112.5,,0,Frontlit,Window,Beauty,Beauty
5,East,C,Raipur,66GFV29,36'',83'',ESML,,1,20.75,,0,Frontlit,Pillar,Ladies Western,Ladies
6,East,C,Raipur,66GFV6,36'',103'',ESML,,1,25.75,,0,Frontlit,Pillar,Watches,Non-apps
7,East,C,Raipur,66GFV7,36'',103'',ESML,,1,25.75,,0,Frontlit,Pillar,Handbags,Leather
8,East,C,Raipur,66GFV10,36'',103'',ESML,,1,25.75,,0,Frontlit,Pillar,Handbags,Leather
9,East,C,Raipur,66GFV22,,,ACTUAL,,,,,0,Frontlit,Pillar,Lingerie ,Ladies
10,East,C,Raipur,66GFV23,30'',103'',ESML,,1,21.45833333,,0,Frontlit,Pillar,Lingerie ,Ladies
11,East,C,Raipur,66GFV34,33'',103'',ESML,,1,23.60416667,,0,Frontlit,Pillar,Indian Wear,Ladies
12,East,C,Raipur,66GFV40,32'',105'',ESML,,1,23.33333333,,0,Frontlit,Pillar,Indian Wear,Ladies
13,East,C,Raipur,66GFCC2,159'',47'',Backlit Fabric with silicon strips,,1,51.89583333,,0,Backlit,Cash Counter,Ladies,Ladies
14,East,C,Raipur,66GFSV1,20''d6'',57'',VOSB 5mm,,3,#VALUE!,,0,Frontlit,Sensomatic,Fragrance,Beauty
15,East,C,Raipur,66GFW6,120'',120'',ESML,,1,100,,0,Frontlit,Window,Generic,Generic
16,East,C,Raipur,66GFW8,156'',129'',ESML,,1,139.75,,0,Frontlit,Window,Generic,Generic
17,East,C,Raipur,66GFW9,170'',129'',ESML,,1,152.2916667,,0,Frontlit,Window,Fragrance,Beauty
18,East,C,Raipur,66GFW11,143'',123'',ESML,,1,122.1458333,,0,Frontlit,Window,Generic,Generic
19,East,C,Raipur,66GFW12,147'',115'',ESML,,1,117.3958333,,0,Frontlit,Window,Generic,Generic
20,East,C,Raipur,66FFW1,120'',123'',ESML,,1,102.5,,1,Frontlit,Window,Generic,Generic
21,East,C,Raipur,66FFW2,123'',126'',ESML,,1,107.625,,1,Frontlit,Window,Generic,Generic
22,East,C,Raipur,66FFW3,132'',126'',ESML,,1,115.5,,1,Frontlit,Window,Mens ,Mens
23,East,C,Raipur,66FFW12,115'',112'',ESML,,1,89.44444444,,1,Frontlit,Window,Mens ,Mens
24,East,C,Raipur,66FFV6,43'',110'',ESML,,1,32.84722222,,1,Frontlit,Pillar,Mens Formal,Mens 
25,East,C,Raipur,66FFV15,32'',102'',ESML,,1,22.66666667,,1,Frontlit,Pillar,Mens,Mens
26,East,C,Raipur,66FFV18,27'',112'',ESML,,1,21,,1,Frontlit,Pillar,Kids,Kids
27,East,C,Raipur,66FFV19,44'',111'',ESML,,1,33.91666667,,1,Frontlit,Pillar,Kids,Kids
28,East,C,Raipur,66FFV20,44'',111'',ESML,,1,33.91666667,,1,Frontlit,Pillar,Mens Formal,Mens 
29,East,C,Raipur,66FFV21,45'',112'',ESML,,1,35,,1,Frontlit,Pillar,Mens Athleisure,Mens 
30,East,C,Raipur,66FFV22,61'',112'',ESML,,1,47.44444444,,1,Frontlit,Pillar,Mens Formal,Mens 
31,East,C,Raipur,66FFV23,36'',103'',ESML,,1,25.75,,1,Frontlit,Pillar,Mens Formal,Mens 
32,East,C,Raipur,66FFV41,260'',113'',ESML,,1,204.0277778,,1,Frontlit,Stairway,Mens,Mens
33,East,C,Raipur,66FFSV1,,,ACTUAL,,,,,1,Frontlit,Sensomatic,Mens,Mens
34,East,C,Raipur,66FFCC1,143'',47'',ESML,,1,46.67361111,,1,Backlit,Cash Counter,Mens,Generic
35,East,C,Raipur,66FFCC2,191'',47'',ESML,,1,61.67708333,,1,Backlit,Cash Counter,Kids,Generic
,,,,,,,,,,,,,,,,
1,East,C,Rourkela,8507GFV6,33'',112'',Backlit Fabric with silicon strip ,,1,25.62335417,,0,Backlit ,Pillar,Beauty,Beauty
