f,Zone,Grade,Store Name,Space Code,W,H,Material,D,Qty,"Sq,ft.",Cost,Level,Inventory Medium,Inventory Type,Location,Category
42,East,A,Kol 1,12FFSV1,27'',56'',FL FABRIC,,1,10.5,,1,Frontlit,Pillar,Ladies,Ladies
43,East,A,Kol 1,12SFFL4,40'',91'',Eco solvent self adhesive vinyl with matt lamination,,1,24.96180556,,2,Frontlit,Pillar,Mens Denim,Mens
44,East,A,Kol 1,12SFSV1,17'',52'',Vinyl Translit ,,6,5.958333333,,2,Frontlit,Sensomatic,Mens Denim,Mens
45,East,A,Kol 1,12TFBL1,32'',110'',Backlit Fabric with silicon strip,,1,24.44444444,,3,Backlit,Façade,Mens Formal,Mens
46,East,A,Kol 1,12TFFL1,89'',115'',Vinyl + Sunboard ,,1,71.07638889,,3,Frontlit,Pillar,Mens Formal,Mens
47,East,A,Kol 1,12TFFL2,,,Recce,,,,,3,Frontlit,Pillar,Mens Formal,Mens
48,East,A,Kol 1,12TFFL3,,,Recce,,,,,3,Frontlit,Pillar,Mens Formal,Mens
49,East,A,Kol 1,12TFSV1,31.5,109,Backlit Fabric with silicon strip,,1,23.84375,,3,Frontlit,Sensomatic,Mens Formal,Mens
50,East,A,Kol 1,12SWFL6,96,78,Eco solvent self adhesive vinyl with matt lamination,,1,52,,1,Frontlit,Stairway,Mens Denim,Mens
51,East,A,Kol 1,12SWFL8,48,96,Vinyl + Sunboard ,,1,32,,2,Frontlit,Stairway,Mens Formal,Mens
52,East,A,Kol 1,12SWFL9,96,78,Eco solvent self adhesive vinyl with matt lamination,,1,52,,2,Frontlit,Stairway,Mens Formal,Mens
,,,,,,,,,,,,,,,,
1,East,A,Kol 2,15L2SOH3,,,Actual,,,,,1,Backlit,Pillar,Kids,Kids
2,East,A,Kol 2,15FFCC2,14'4'',3'10'',Backlit Fabric with silicon strip,,1,,,1,Backlit,Cash Counter,Mens ,Mens 
3,East,A,Kol -2,15GFSV2,15'',59'',ESML,,4,6.145833333,,0,Frontlit,Sensomatic,Fragrance,Beauty
4,East,A,Kol -2,15GFW7,200'',87'',FLEX,,1,120.8333333,,0,Frontlit,Window,Generic,Generic
5,East,A,Kol-2,15L1SOH6,39'',99'',Backlit Fabric with silicon strip,,1,26.46875,,0,Backlit,Pillar,Non-apps,Non-apps
6,East,A,Kol 2,15L1SOH9,43'',124'',Backlit Fabric with silicon strip,,1,36.59722222,,0,Backlit,Pillar,Ladies Western,Ladies
7,East,A,Kol 2,15L1SOH10,45'',123'',Backlit Fabric with silicon strip,,1,38.01041667,,0,Backlit,Pillar,Indian Wear,Ladies
8,East,A,Kol 2,15L1SOH14,41'',121'',Backlit Fabric with silicon strip,,1,34.45138889,,0,Backlit,Pillar,Women Athleisure,Ladies
9,East,A,Kol 2,15L2W1,154'',83'',Backlit Fabric with silicon strip,,1,88.7810625,,,,,,
10,East,A,Kol Salt Lake,15L2SOH2,760'',83'',Backlit Fabric with silicon strip,,1,438.425,,1,Backlit,Pillar,Ugs,Mens
11,East,A,Kol 2,15L2SOH4,760'',83'',Backlit Fabric with silicon strip,,1,438.425,,1,Backlit,Pillar,Mens Footwear,Leather
12,East,A,Kol 2,15L2SOH7,30'',83'',Backlit Fabric with silicon strip,,1,17.00347222,,1,Backlit,Pillar,Mens Formal,Mens
13,East,A,Kol 2,15L2SOH8,30'',83'',Backlit Fabric with silicon strip,,1,16.90104167,,1,Backlit,Pillar,Mens Denim,Mens
14,East,A,Kol Salt Lake,15L2SOH9,30'',84'',Backlit Fabric with silicon strip,,1,17.39583333,,1,Backlit,Pillar,Mens Denim,Mens
15,East,A,Kol 2,15L2SOH10,30'',84'',Backlit Fabric with silicon strip,,1,17.39583333,,1,Backlit,Pillar,Mens Athleisure,Mens
16,East,A,Kol 2,15L2SOH11,30'',84'',Backlit Fabric with silicon strip,,1,17.39583333,,1,Backlit,Pillar,Kids,Kids
17,East,A,Kol 2,15GFW5,190'',85'',FLEX,,1,112.1527778,,0,Frontlit,Window,Generic,Generic
18,East,A,Kol 2,15GFW6,203'',84'',FLEX,,1,118.4166667,,0,Frontlit,Window,Generic,Generic
19,East,A,Kol 2,15L1SOH5,27'',99'',Backlit Fabric with silicon strip,,1,18.21875,,0,Backlit,Pillar,Fragrance,Beauty
20,East,A,Kol 2,15GFSV1,14'',56'',ESML,,3,5.444444444,,0,Frontlit,Sensomatic,Fragrance,Beauty
21,East,A,Kol 2,15GFW7,200'',87'',FLEX,,1,120.8333333,,0,Frontlit,Window,Generic,Generic
22,East,A,Kol 2,15L1SOH1,42'',100'',UV BL Fabric,,1,29.16666667,,0,Backlit,Pillar,Watches,Non-apps
23,East,A,Kol 2,15L1SOH2,41'',100'',UV BL Fabric,,1,28.47222222,,0,Backlit,Pillar,Watches,Non-apps
24,East,A,Kol 2,15L1SOH3,42'',100'',UV BL Fabric,,1,29.16666667,,0,Backlit,Pillar,Sunglass,Non-apps
25,East,A,Kol 2,15L1SOH4,37'',98'',Backlit Fabric with silicon strip,,1,25.05208333,,0,Backlit,Pillar,Fragrance,Beauty
26,East,A,Kol 2,15L1SOH7,39'',99'',Backlit Fabric with silicon strip,,1,26.8125,,0,Backlit,Pillar,Beauty,Beauty
27,East,A,Kol 2,15L1SOH8,41'',122'',Backlit Fabric with silicon strip,,1,34.73611111,,0,Backlit,Pillar,Ladies Western,Ladies
28,East,A,Kol 2,15L1SOH11,45'',123'',Backlit Fabric with silicon strip,,1,38.4375,,0,Backlit,Pillar,Indian Wear,Ladies
29,East,A,Kol 2,15L1SOH12,42'',123'',Backlit Fabric with silicon strip,,1,35.875,,0,Backlit,Pillar,Indian Wear,Ladies
30,East,A,Kol 2,15L1SOH13,44'',123'',Backlit Fabric with silicon strip,,1,37.58333333,,0,Backlit,Pillar,Indian Wear,Ladies
31,East,A,Kol 2,15L1SOH15,41'',123'',Backlit Fabric with silicon strip,,1,35.02083333,,0,Backlit,Pillar,Lingerie,Ladies
32,East,A,Kol 2,15L1SOH16,57'',102'',Backlit Fabric with silicon strip,,1,40.02083333,,0,Backlit,Pillar,Ladies Western,Ladies
33,East,A,Kol 2,15GFCC1,172'',46'',Backlit Fabric with silicon strip,,2pc,54.94444444,,0,Backlit,Cash Counter,Generic,Generic
34,East,A,Kol 2,15GFSV3,,,Actual,,,,,0,Frontlit,Sensomatic,Non-apps,Non-apps
35,East,A,Kol 2,15FFW1,153'',91'',Backlit Fabric with silicon strip,,1,96.6875,,1,Backlit,Window,Mens,Mens
36,East,A,Kol 2,15L2SOH1,30'',83'',Backlit Fabric with silicon strip,,1,17.00347222,,1,Backlit,Pillar,Luggage,Luggage
37,East,A,Kol 2,15L2SOH5,30'',83'',Backlit Fabric with silicon strip,,1,17.00347222,,1,Backlit,Pillar,Mens Denim,Mens
38,East,A,Kol 2,15L2SOH6,35'',83'',Backlit Fabric with silicon strip,,1,20.34026458,,1,Backlit,Pillar,Mens Formal,Mens
39,East,A,Kol 2,15FFCC1,,,VM ASKED THERE IS NO VISUAL,,,,,1,Backlit,Cash Counter,Mens ,Mens 
40,East,A,Kol 2,15DS01,,,,,,,,1,Digital,Cash Counter,Generic,Generic
41,East,A,Kol 2,15DS02,,,,,,,,0,Digital,Façade,Generic,Generic
42,East,A,Kol 2,15FFSV1,16'',56'',VOSB BOX 5MM,,2,6.166666667,,1,Frontlit,Sensomatic,Mens,Mens
43,East,A,Kol 2,15GFW1,107'',96'',Backlit Fabric with silicon strip,,1,71.33333333,,0,Backlit,Window,Fragrance,Beauty
44,East,A,Kol 2,15GFW2,107'',96'',Backlit Fabric with silicon strip,,1,71.33333333,,0,Backlit,Window,Generic,Generic
45,East,A,Kol 2,15GFW3,107'',96'',Backlit Fabric with silicon strip,,1,71.33333333,,0,Backlit,Window,Generic,Generic
46,East,A,Kol 2,15GFW4,157'',77'',Backlit Fabric with silicon strip,,1,83.95138889,,0,Backlit,Window,Generic,Generic
