Unit No,Store,Store Address
188,"Acropolis, Kolkatta","Shoppers Stop Ltd, Acropolis mall,1858/1 , Rajdanga Main Road, Kolkata - 700 107."
191,Ludhiana,"Shoppers Stop Ltd, Pavilion Mall, Old Session Court Road, Near Fountain Chowk Ludhiana- 141 001."
196,Vadodara,"Shoppers Stop Ltd, Inorbit Mall, Opp. Alembic School, Gunjan Tower, Gorwa Road, Vadodara - 390 003."
199,Vizag,"Shoppers Stop Ltd, SRK Destiny, T.S.No 5/3 & 5/4, L.P.no 3/86, Block No.1. Waltair ward, V.I.P Road, Near CBM Compound, Visakhapatnam - 530 003."
223,Elpro Pune,"Shoppers Stop Ltd, Elpro City Square Mall, Chinchwad Gaon, Pimpri Chinchwad, Pune - 411033."
225,Varanasi,"Shoppers Stop Ltd, IP Sigra Shopping Mall, Vidhya Peeth Road, Shashtri Nagar, Gurunanak Nagar Colony, Sigra Varanasi, UP 221 002."
226,Emerald Lucknow,"Shoppers Stop Ltd, Emerald Mall, Poddar Real Estate Pvt Ltd, Plot No CP - 138, Sector D1, Power House Chauraha, Kanpur Road, Lucknow - 226012, Uttar Pradesh"
227,Udaipur,
228,Jodhpur,"Shoppers Stop Ltd, Indiabulls Mega Mall, Meera Nagar, Jodhpur, Rajasthan 342005"
229,"Sharath City Mall, HYD","Shoppers Stop Ltd, Sharath City Mall, Gachibowli - Miyapur Road, Level 6, White Field Road, Whitefield, Kondapur, Hyderabad, Telangana 500 084"
230,Dwarka,"Shoppers Stop Ltd, South City Mall, H2WP + GCV, Sector 13, Dwarka, Kakrola, Delhi - 110078."
253,Kolhapur,"Shoppers Stop Ltd, DY Patil City Mall, Near Sayaji Hotel, Kolhapur - 416 003."
255,The Gaur Mall Ghaziabad,"Shoppers Stop Ltd, Gaur Central Mall, A1-A4, Raj Nagar District Centre, Ghaziabad - 201 001."
257,KOL CCNT,"Shoppers Stop Ltd, City Center 2, Rajarhat, New Town, Major Arterial Road, Action Area IID, Kolkata-700 157."
259,Guar City Noida,"Shoppers Stop Ltd, Plot no GH-01, Sector-4 Gaur City Mall, Noida Extn. Gautam Buddha Nagar, Greater Noida, Uttar Pradesh 201 301."
262,Calicut,"Shoppers Stop Ltd, Hilite Mall, T1, G 1003, Kozhikode Bypass, Kozhikode, Kerala 673 014."
267,Janakpuri,"Shoppers Stop Ltd, Unity One Janakpuri, Janakpuri West, New Delhi – 110 058."
268,Goa,"Shoppers Stop Ltd, Mall De Goa, Nova de Cidade complex, Alto- Porvorim, Bardez- Goa - 403 521."
269,L&T Punjagutta,"Shoppers Stop Ltd, Second Floor, Next Galleria Mall, Near Punjagutta Circle, Punjagutta Metro Railway Station, Punjagutta, Hyderabad – 500 082."
272,Panvel,"Shoppers Stop Ltd, Orion Mall, Plot No – 311, Mumbai Pune Highway, Near Panvel Bus Depot, Panvel – 410 206."
273,Aundh,"Shoppers Stop Ltd, Westend Mall, Near to Parihar Chowk, Aundh, Pune - 411 007."
274,"Royal Meenakshi Mall, Bangalore","Shoppers Stop Ltd, Royal Meenakshi Mall, Ground Floor, Bannerghatta Road, Hulimavu, Bangalore - 560076"
280,"Man Upasana, Jaipur","Shoppers Stop Ltd, Man-Upasana Plaza, C-44,Sardar Patel Marg, C-Scheme,Jaipur, Rajasthan - 302 001."
290,Omaxe Noida,"Shoppers Stop Ltd, Omaxe Connaught Place Mall, Near CNG Filling Station, Sector Beta 2, Greater Noida, Uttar Pradesh - 201 306."
294,"Orion Brigade, Balgalore","Shoppers Stop Ltd, Orion mall, Brigade Gateway, Dr.Rajkumar Road, Malleshwaram - West, Bangalore - 560 055."
310,R-Cube Rajouri,"Shoppers Stop Ltd, R Cube Monad Mall,Rajouri Garden, New Delhi - 110 027."
